aa	ɑ ɑ
statements	s t e ɪ t m ə n t s
stater	s t e ɪ t ɚ
statesman	s t e ɪ t s m ə n
statesmen	s t e ɪ t s m ə n
statewide	s t e ɪ t w a ɪ d
static	s t æ t ɪ k
staticity	s t ə t ɪ s ɪ t i
station	s t e ɪ ʃ ə n
stationary	s t e ɪ ʃ ə n ɛ ɹ i
stationed	s t ɛ ɪ ʃ ə n d
stations	s t e ɪ ʃ ə n z
statistical	s t ə t ɪ s t ɪ k ə l
statistically	s t ə t ɪ s t ɪ k l̩ i
statistician	s t æ t ɪ s t ɪ ʃ n̩
statistics	s t ə t ɪ s t ɪ k s
stative	s t e ɪ t ɪ v
statoid	s t e ɪ t ɔ ɪ d
statuary	s t æ t͡ʃ u ɛ ɹ i
statue	s t æ t͡ʃ u
stature	s t æ t͡ʃ ɚ
statutory	s t æ t͡ʃ ə t ɔ ɹ i
staunch	s t ɔ n t͡ʃ
stave	s t e ɪ v
stavudine	s t æ v j ə d i n
stay	s t e ɪ
stayed	s t e ɪ d
staying	s t e ɪ ɪ ŋ
stays	s t e ɪ z
stead	s t ɛ d
steadfast	s t ɛ d f æ s t
steadily	s t ɛ d ɪ l i
steady	s t ɛ d i
steak	s t e ɪ k
steaks	s t e ɪ k s
steal	s t i l
stealer	s t i l ɚ
stealing	s t i l ɪ ŋ
steals	s t i l z
stealth	s t ɛ l θ
steamboat	s t i m b o ʊ t
steamer	s t i m ɚ
steaminess	s t i m i n ɪ s
steamy	s t i m i
stean	s t i n
steed	s t i d
steel	s t i l
steely	s t i l i
steen	s t i n
steenbok	s t i n b ɔ k
steep	s t i p
steepy	s t i p i
steerer	s t ɪ ə ɹ ə ɹ
steeve	s t i v
stef	s t ɛ f
steganography	s t ɛ ɡ ʌ n ɔ ɡ ɹ ʌ f i
stegosaur	s t e ɡ ə s ɔ ɹ
stein	s t a ɪ n
steinbach	s t a ɪ n b æ k
stela	s t i l ə
stelae	s t i l i
stele	s t i l
steles	s t i l i z
stella	s t ɛ l ə
stellar	s t ɛ l ɚ
stellify	s t ɛ l ɪ f a ɪ
stem	s t ɛ m
stemware	s t ɛ m w ɛ ɚ
stencil	s t ɛ n s ə l
stenographer	s t ə n ɑ ɡ ɹ ə f ə ɹ
stenography	s t ə n ɑ ɡ ɹ ə f i
stenoses	s t ɛ n o ʊ s i z
stenosis	s t ə n o ʊ s ɪ s
stentorian	s t ɛ n t ɔ ɹ i ə n
stentoriously	s t ɛ n t ɔ ɹ ɪ ə s l i
step	s t ɛ p
stephanie	s t ɛ f ə n i
stephen	s t ɛ f ə n
stephens	s t i v ə n z
steppe	s t ɛ p
stepped	s t ɛ p t
stepping	s t ɛ p ɪ ŋ
steps	s t ɛ p s
stepson	s t ɛ p s ʌ n
stercorarious	s t ɜ ɹ k ə ɹ ɛ ɹ i ə s
stereo	s t ɛ ɹ i o ʊ
stereoisomerism	s t ɛ ɹ ɪ o ʊ a ɪ s ɔ m ə ɹ ɪ z ə m
stereoscopic	s t ɛ r i ə s k ɑ p ɪ k
sterile	s t ɛ ɹ ə l
sterling	s t ɜ ɹ l ɪ ŋ
sternly	s t ɝ n l i
sternocleidomastoid	s t ɝ n ə k l a ɪ d ə m æ s t ɔ ɪ d
sternocleidomastoideus	s t ɝ n ə k l a ɪ d ə m æ s t ɔ ɪ d i ə s
sterns	s t ɜ ɹ n z
sternutatory	s t ɝ n u t ə t ɔ ɹ i
stertorously	s t ɝ t ɚ ə s l i
stet	s t ɛ t
stethoscope	s t ɛ θ ə s k o ʊ p
steve	s t i v
stevedore	s t i v ə d ɔ ɹ
stew	s t u
steward	s t u ɚ d
stewart	s t ʊ ə ɹ t
stewed	s t u d
stf	s t ɛ f
stfan	s t ɛ f æ n
stfdom	s t ɛ f d ə m
sthenic	s θ ɛ n ɪ k
stheno	s θ ɛ n o ʊ
stibine	s t ɪ b a ɪ n
stibogluconate	s t ɪ b o ʊ ɡ l u k ə n e ɪ t
stich	s t ɪ k
stichomythia	s t ɪ k ə m ɪ θ ɪ ə
stick	s t ɪ k
sticker	s t ɪ k ə r
sticking	s t ɪ k ɪ ŋ
sticks	s t ɪ k s
sticky	s t ɪ k i
stickyweed	s t ɪ k i w i d
stiff	s t ɪ f
stiffen	s t ɪ f ə n
stiffly	s t ɪ f l i
stiffy	s t ɪ f i
stifle	s t a ɪ f ə l
stig	s t ɪ ɡ
stigma	s t ɪ ɡ m ə
stigmatic	s t ɪ ɡ m æ t ɪ k
stigmatism	s t ɪ ɡ m ə t ɪ z ə m
stigmatize	s t ɪ ɡ m ə t a ɪ z
stile	s t a ɪ l
stiletto	s t ə l ɛ t o ʊ
stillicide	s t ɪ l ɪ s ʌ ɪ d
stillness	s t ɪ l n ə s
stilt	s t ɪ l t
stilted	s t ɪ l t ɪ d
stilton	s t ɪ l t ə n
stime	s t a ɪ m
stimmy	s t ɪ m i
stimulate	s t ɪ m j ʊ l e ɪ t
stimulated	s t ɪ m j ʊ l e ɪ t ɪ d
stimuli	s t ɪ m j ə l a ɪ
stimulus	s t ɪ m j ə l ə s
sting	s t ɪ ŋ
stinge	s t ɪ n d͡ʒ
stinger	s t ɪ ŋ ɚ
stinging	s t ɪ ŋ ɪ ŋ
stingo	s t ɪ ŋ ɡ o ʊ
stingray	s t ɪ ŋ ɹ e ɪ
stink	s t ɪ ŋ k
stinking	s t ɪ ŋ k ɪ ŋ
stinky	s t ɪ ŋ k i
stinnett	s t ɪ n ɛ t
stint	s t ɪ n t
stipe	s t a ɪ p
stipend	s t a ɪ p ɛ n d
stipulation	s t ɪ p j ə l e ɪ ʃ ə n
stipulative	s t ɪ p j ə l ə t ɪ v
stipule	s t ɪ p j u l
stir	s t ɝ
stirabout	s t ɜ ɹ ə b a ʊ t
stirling	s t ɜ ɹ l ɪ ŋ
stirred	s t ɝ d
stirrer	s t ɝ ɚ
stirring	s t ɝ ɪ ŋ
stitch	s t ɪ t͡ʃ
stitching	s t ɪ t͡ʃ ɪ ŋ
stith	s t ɪ θ
stithy	s t ɪ ð i
stiver	s t a ɪ v ə
stoat	s t o ʊ t
stochastic	s t ə k æ s t ɪ k
stock	s t ɑ k
stockade	s t ɑ k e ɪ d
stockfish	s t ɔ k f ɪ ʃ
stockholder	s t ɔ k h o ʊ ɫ d ɚ
stocking	s t ɑ k ɪ ŋ
stockpile	s t ɔ k p a ɪ l
stockport	s t ɔ k p ɔ ɹ t
stocks	s t ɑ k s
stodge	s t ɔ d͡ʒ
stoep	s t u p
stofberg	s t ɔ f b ɝ ɡ
stogie	s t o ʊ ɡ i
stoichiometry	s t ɔ ɪ k i ɔ m ə t ɹ i
stoicism	s t o ʊ ɪ s ɪ z ə m
stoke	s t o ʊ k
stoker	s t o ʊ k ə ɹ
stole	s t o ʊ l
stolen	s t o ʊ l ə n
stolid	s t ɑ l ɪ d
stollen	s t ɔ l ə n
stoma	s t o ʊ m ə
stomach	s t ʌ m ə k
stomachache	s t ʌ m ə k e ɪ k
stomatocyte	s t ə m æ t ə s a ɪ t
stomp	s t ɑ m p
stompie	s t ɔ m p i
stoner	s t o ʊ n ɚ
stonewall	s t o ʊ n w ɔ l
stony	s t o ʊ n i
stood	s t ʊ d
stooge	s t u d͡ʒ
stook	s t ʊ k
stool	s t u l
stoolball	s t u l b ɔ l
stooop	s t ɔ p
stoor	s t ɔ ɚ
stop	s t ɑ p
stopcock	s t ɑ p k ɑ k
stopped	s t ɑ p t
stopping	s t ɑ p ɪ ŋ
stops	s t ɑ p s
stoquastic	s t ə k w æ s t ɪ k
storage	s t ɔ ɹ ɪ d͡ʒ
store	s t ɔ ɹ
stores	s t ɔ ɹ z
storiated	s t ɔ ɹ ɪ e ɪ t ɪ d
storiation	s t ɔ ɹ ɪ e ɪ ʃ ə n
storie	s t ɔ ɹ i
stork	s t ɔ ɹ k
storm	s t ɔ ɹ m
stormont	s t ɔ ɹ m ə n t
storms	s t ɔ ɹ m z
stormtossed	s t ɔ ɹ m t ɔ s t
stormtrooper	s t ɔ m t ɹ u p ə
stormy	s t ɔ ɹ m i
stotinka	s t ɔ t ɪ ŋ k ə
stoup	s t u p
stourbridge	s t a ʊ ə b ɹ ɪ d͡ʒ
stoush	s t a ʊ ʃ
stout	s t a ʊ t
stovec	s t o ʊ v ɛ k
stovin	s t o ʊ v ɪ n
stow	s t o ʊ
stowed	s t o ʊ d
strad	s t ɹ æ d
stradivarius	s t ɹ æ d ə v ɛ ɹ i ə s
strafe	s t ɹ e ɪ f
straggle	s t ɹ æ ɡ l̩
straight	s t ɹ e ɪ t
straighten	s t ɹ e ɪ t n̩
straightener	s t ɹ e ɪ t ə n ɚ
strain	s t ɹ e ɪ̯ n
strained	s t ɹ e ɪ̯ n d
strainer	s t ɹ e ɪ n ɚ
straitjacketing	s t ɹ e ɪ t d͡ʒ æ k ɪ t ɪ ŋ
straitly	s t ɹ e ɪ t l i
strake	s t ɹ e ɪ k
stramash	s t ɹ ə m æ ʃ
strand	s t ɹ æ n d
strandflat	s t ɹ æ n d f l æ t
strange	s t ɹ e ɪ n d͡ʒ
strangely	s t ɹ e ɪ n d͡ʒ l i
stranger	s t ɹ e ɪ n d͡ʒ ɚ
strangers	s t ɹ e ɪ n d͡ʒ ɚ z
strangle	s t ɹ æ ŋ ɡ ə l
strangles	s t ɹ æ ŋ ɡ ə l z
strangury	s t ɹ æ ŋ ɡ j ə ɹ i
strap	s t ɹ æ p
strasbourg	s t ɹ ɑ s b ɝ ɡ
strass	s t ɹ a s
stratagem	s t ɹ æ t ə d͡ʒ ə m
stratagems	s t ɹ æ t ə d͡ʒ ə m z
strategize	s t ɹ æ t ə d͡ʒ a ɪ z
strathclyde	s t ɹ æ θ k l a ɪ d
strathspey	s t ɹ æ θ s p e ɪ
stratigraphy	s t ɹ ə t ɪ ɡ ɹ ə f i
stratospheric	s t ɹ æ t ə s f ɛ ɹ ɪ k
strauss	s t ɹ a ʊ s
stravage	s t ɹ ə v e ɪ ɡ
straw	s t ɹ ɔ
strawberry	s t͡ʃ ɹ ɔ b ɛ ɹ i
stray	s t ɹ e ɪ
streaker	s t ɹ i k ɚ
stream	s t ɹ i m
streamer	s t ɹ i m ə ɹ
streaming	s t ɹ i m ɪ ŋ
streams	s t ɹ i m z
streel	s t ɹ i l
street	s t ɹ i t
streetlet	s t ɹ i t l ə t
streets	s t ɹ i t s
strength	s t ɹ ɛ ŋ k θ
strenuous	s t ɹ ɛ n j u ə s
strep	s t ɹ ɛ p
stress	s t ɹ ɛ s
stressed	s t ɹ ɛ s t
stressful	s t ɹ ɛ s f ə l
stretch	s t ɹ ɛ t͡ʃ
stretched	s t ɹ ɛ t͡ʃ t
stretcher	s t ɹ ɛ t͡ʃ ɚ
stretches	s t ɹ ɛ t͡ʃ ɪ z
stretching	s t ɹ ɛ t͡ʃ ɪ ŋ
stretchy	s t ɹ ɛ t͡ʃ i
stretto	s t ɹ ɛ t o ʊ
strew	s t ɹ u
strewed	s t ɹ u d
strewn	s t ɹ u n
strewth	s t ɹ u θ
stria	s t ɹ a ɪ ə
strick	s t r ɪ k
strict	s t ɹ ɪ k t
strictly	s t ɹ ɪ k t l i
stricture	s t ɹ ɪ k t͡ʃ ə ɹ
strid	s t ɹ ɪ d
stridden	s t ɹ ɪ d ə n
stride	s t ɹ a ɪ d
striding	s t ɹ a ɪ d ɪ ŋ
stridor	s t ɹ ɑ j ɾ ɹ̩
stridulous	s t ɹ ɪ d j ʊ l ə s
strife	s t ɹ a ɪ f
strigate	s t ɹ ɪ ɡ ə t
strigil	s t ɹ ɪ d͡ʒ ɪ l
strigment	s t ɹ ɪ ɡ m ə n t
striker	s t ɹ a ɪ k ə ɹ
strikesthrough	s t ɹ æ ɪ k s θ ɹ u
strikethrough	s t ɹ a ɪ k θ ɹ u
strimmer	s t ɹ ɪ m ə ɹ
stringer	s t ɹ ɪ ŋ ɚ
stringify	s t ɹ ɪ ŋ ɪ f a ɪ
stringy	s t ɹ ɪ ŋ i
strip	s t ɹ ɪ p
stripling	s t ɹ ɪ p l ɪ ŋ
stripped	s t ɹ ɪ p t
stripper	s t ɹ ɪ p ə ɹ
strippet	s t ɹ ɪ p ɪ t
strips	s t ɹ ɪ p s
strive	s t ɹ a ɪ v
strived	s t ɹ a ɪ v d
striven	s t ɹ ɪ v ə n
striving	s t ɹ a ɪ v ɪ ŋ
strobe	s t ɹ o ʊ b
strobila	s t ɹ o ʊ b a ɪ l ə
strode	s t ɹ o ʊ d
stroke	s t ɹ o ʊ k
strokes	s t ɹ o ʊ k s
stroll	s t ɹ o ʊ l
strolled	s t ɹ o ʊ l d
stromboli	s t ɹ ɑ m b o ʊ l i
strombus	s t ɹ ɑ m b ə s
strommel	s t ɹ ɔ m ə l
stromuhr	s t ɹ o ʊ m u ɹ
stronach	s t ɹ o ʊ n ə x
stronger	s t ɹ ɔ ŋ ɡ ɚ
strongest	s t ɹ ɔ ŋ ɡ ə s t
stronghold	s t ɹ ɔ ŋ h o ʊ l d
strontianite	s t ɹ ɔ n t i ə n a ɪ t
stroot	s t ɹ u t
strop	s t ɹ ɔ p
stroud	s t ɹ a ʊ d
strove	s t ɹ ɔ ʊ v
stroy	s t ɹ ɔ ɪ
struckthrough	s t ɹ ʌ k θ ɹ u
structure	s t ɹ ʌ k t͡ʃ ɚ
strudel	s t ɹ u d ə l
struggle	s t r ʌ ɡ ə l
struggled	s t ɹ ʌ ɡ l̩ d
strummel	s t ɹ ʌ m ə l
strumpet	s t ɹ ʌ m p ɪ t
struthious	s t ɹ u θ i ə s
struthonian	s t ɹ u θ o ʊ n ɪ ə n
struvite	s t ɹ u v a ɪ t
strychnine	s t ɹ ɪ k n i n
stuart	s t j u ɚ t
stub	s t ʌ b
stubble	s t ʌ b ə l
stubborn	s t ʌ b ɚ n
stubbornness	s t ʌ b ɚ n n ə s
stubbs	s t ʌ b z
stuck	s t ʌ k
studdery	s t ʌ d ə ɹ i
students	s t u d n̩ t s
studied	s t ʌ d i d
studies	s t ʌ d i z
studio	s t u d i o ʊ
study	s t ʌ d i
studying	s t ʌ d i ɪ ŋ
stuff	s t ʌ f
stuffed	s t ʌ f t
stuffer	s t ʌ f ɚ
stuffing	s t ʌ f ɪ ŋ
stum	s t ʌ m
stumble	s t ʌ m b ə l
stumbled	s t ʌ m b l̩ d
stump	s t ʌ m p
stumpy	s t ʌ m p i
stun	s t ʌ n
stung	s t ʌ ŋ
stunk	s t ʌ ŋ k
stunned	s t ʌ n d
stupa	s t u p ə
stupend	s t j u p ɛ n d
stupid	s t j u p ɪ d
stupour	s t j u p ə ɹ
sturdy	s t ɜ r d i
sturgeon	s t ɝ d͡ʒ ə n
sturmabteilung	ʃ t ʊ ɹ m æ b t a ɪ l ʊ ŋ
stutter	s t ʌ ɾ ɚ
sty	s t a ɪ
stygian	s t ɪ d͡ʒ i ə n
style	s t a ɪ l
styli	s t a ɪ l a ɪ
stylist	s t a ɪ l ɪ s t
stylistic	s t a ɪ l ɪ s t ɪ k
stylite	s t a ɪ l a ɪ t
stylize	s t a ɪ l a ɪ z
stylobate	s t a ɪ l ə b e ɪ t
stylus	s t a ɪ l ə s
stymie	s t a ɪ m i
styptic	s t ɪ p t ɪ k
styx	s t ɪ k s
su	s u
sub	s ʌ b
subaqueously	s ʌ b e ɪ k w i ə s l i
subclavian	s ə b k l e ɪ v i ə n
subclavius	s ə b k l e ɪ v i ə s
subcommentary	s ʌ b k ɑ m ə n t ɛ ɹ i
subcommittee	s ʌ b k ə m m ɪ t t i
subcutaneous	s ʌ b k j u t e ɪ n ɪ ə s
subcutis	s ʌ b k j u t ɪ s
subdivide	s ʌ b d ɪ v a ɪ d
subdivision	s ʌ b d ɪ v ɪ ʒ ə n
subduct	s ʌ b d ʌ k t
subdue	s ə b d u
subdued	s ə b d u d
subduer	s ʌ b d j u ə ɹ
subeth	s ə b ɛ θ
subfusc	s ɐ b f ɐ s k
subitize	s ʌ b i t a ɪ z
subito	s u b ɪ t o ʊ
subjected	s ə b d͡ʒ ɛ k t ɪ d
subjicible	s ʌ b d͡ʒ ɪ s ɪ b ə l
subjugate	s ʌ b d͡ʒ ə ɡ e ɪ t
subjugation	s ʌ b d͡ʒ ə ɡ e ɪ ʃ ə n
subjunctive	s ə b d͡ʒ ʌ ŋ k t ɪ v
sublative	s ə b l e ɪ t ɪ v
sublet	s ʌ b l ɛ t
sublimatory	s ʌ b l ɪ m e ɪ t ə ɹ i
subluxation	s ʌ b l ʌ k s e ɪ ʃ ə n
submerge	s ʌ b m ɝ d͡ʒ
submissive	s ə b m ɪ s ɪ v
submit	s ə b m ɪ t
submitted	s ə b m ɪ t ɪ d
subnect	s ʌ b n ɛ k t
subnival	s ʌ b n a ɪ v ə l
subnormality	s ʌ b n ɔ m æ l ɪ t ɪ
subordination	s ə b ɔ ɹ ɾ n̩ e ɪ ʃ n̩
subperiosteal	s ʌ b p ɛ ɹ i ɔ s t ɪ ə l
subpoena	s ə p i n ə
subpoenable	s ə p i n ə b ə l
subreption	s ʌ b ɹ ɛ p ʃ ə n
subscribe	s ə b s k ɹ a ɪ b
subscriber	s ə b s k ɹ a ɪ b ə ɹ
subsequently	s ʌ b s ɪ k w ə n t l i
subsidiarity	s ə b s ɪ d i æ ɹ ɪ t i
subsidy	s ʌ b s i d i
subsist	s ə b s ɪ s t
subspecies	s ʌ b s p i ʃ i z
substance	s ʌ b s t ə n s
substandard	s ʌ b s t æ n d ɚ d
substantial	s ə b s t æ n ʃ ə l
substantiate	s ə b s t a n ʃ ɪ e ɪ t
substitution	s ʌ b s t ə t u ʃ ə n
substrate	s ʌ b s t ɹ e ɪ t
subsume	s ə b s u m
subterfuge	s ʌ b t ə ɹ f j u d͡ʒ
subtitle	s ʌ b t a ɪ t ə l
subtle	s ʌ t ə l
subtlety	s ʌ t ə l t i
subtract	s ə b t ɹ æ k t
subtraction	s ə b t ɹ æ k ʃ ə n
subtrahend	s ʌ b t ɹ ə h ɛ n d
subumber	s ʌ b u m b ɚ
suburb	s ʌ b ɝ b
suburban	s ə b ɜ ɹ b ə n
suburbian	s ə b ɜ ɹ b i ə n
suburbs	s ʌ b ɝ b z
subversive	s ə b v ɜ ɹ s ɪ v
subway	s ʌ b w e ɪ
succame	s ə k e ɪ m
succedaneum	s ʌ k s ɪ d e ɪ n ɪ ə m
succeed	s ə k s i d
succeeded	s ə k s i d ɪ d
succeeding	s ə k s i d ɪ ŋ
success	s ə k s ɛ s
successful	s ə k s ɛ s f l̩
successfully	s ə k s ɛ s f ə l i
successive	s ə k s ɛ s ɪ v
succinylcholine	s ʌ k s ɪ n ɪ l k o ʊ l i n
succour	s ʌ k ɚ
succulent	s ʌ k j ə l ə n t
succumb	s ə k ʌ m
succursal	s ə k ɜ ɹ s ə l
succussation	s ʌ k ə s e ɪ ʃ ə n
such	s ʌ t͡ʃ
suck	s ʌ k
sucking	s ʌ k ɪ ŋ
suckle	s ʌ k ə l
sucks	s ʌ k s
sucktastic	s ʌ k t æ s t ɪ k
sucky	s ʌ k i
sucralfate	s u k ɹ æ l f e ɪ t
sucre	s u k ɹ e ɪ
sucrose	s u k ɹ o ʊ s
suction	s ʌ k ʃ ə n
sudden	s ʌ d ə n
suddenly	s ʌ d n̩ l i
sudorific	s u d ə ɹ ɪ f ɪ k
suds	s ʌ d z
sue	s u
sued	s u d
sufentanil	s u f ɛ n t ə n ɪ l
suffer	s ʌ f ɚ
suffered	s ʌ f ɚ d
suffering	s ʌ f ə ɹ ɪ ŋ
suffice	s ə f a ɪ s
sufficient	s ə f ɪ ʃ ə n t
sufficiently	s ə f ɪ ʃ ə n t l i
suffocate	s ʌ f ə k e ɪ t
suffocating	s ʌ f ə k e ɪ t ɪ ŋ
suffocative	s ʌ f ə k ə t ɪ v
suffragate	s ʌ f ɹ ə ɡ e ɪ t
suffragette	s ʌ f ɹ ə d͡ʒ ɛ t
suffraginous	s ə f ɹ æ d͡ʒ ɪ n ə s
suffrutex	s ʌ f ɹ u t ɛ k s
suffuse	s ə f j u z
sufuria	s ʊ f ʊ r i ə
sugar	ʃ ʊ ɡ ɚ
sugarbag	ʃ ʊ ɡ ɚ b æ ɡ
suggestions	s ə ɡ d͡ʒ ɛ s t͡ʃ ə n z
suggestive	s ə ɡ d͡ʒ ɛ s t ɪ v
suggs	s ʌ ɡ z
suh	s ʌ
suicidal	s u ɪ s a ɪ d l̩
suicide	s u ɪ s a ɪ d
suifenhe	s w e ɪ f ʌ n h ʌ
suit	s j u t
suitable	s u t ə b l
suite	s w i t
suited	s u t ɪ d
sukkah	s ʊ k ə
sulbactam	s ʌ l b æ k t æ m
sulci	s ʌ l s a ɪ
sulcus	s ʌ l k ə s
sulfadiazine	s ʌ l f ə d a ɪ ə z i n
sulfamethoxazole	s ʌ l f ə m ɛ θ ɑ k s ə z o ʊ l
sulfasalazine	s ʌ l f ə s æ l ə z i n
sulfate	s ʌ l f e ɪ t
sulfite	s ʌ l f a ɪ t
sulfur	s ʌ l f ɚ
sulfuric	s ʌ l f j u ɹ ɪ k
sulfurous	s ʌ l f ə ɹ ə s
sulk	s ʌ l k
sulked	s ʌ l k t
sull	s ʌ l
sullen	s ʌ l ə n
sulliage	s ʌ l i ə d͡ʒ
sullivan	s ʌ l ɪ v ə n
sully	s ʌ l i
sulphanilamide	s ʌ l f ə n ɪ l ə m a ɪ d
sulphureity	s ʌ l f ə ɹ i ɪ t i
sultan	s ʌ l t ə n
sultanate	s ʌ l t ə n ə t
sultry	s ʌ l t ɹ i
sum	s ʌ m
sumac	s u m æ k
sumer	s u m ə ɹ
summary	s ʌ m ə ɹ i
summer	s ʌ m ɚ
summery	s ʌ m ə ɹ i
summon	s ʌ m ə n
summoned	s ʌ m ə n d
summons	s ʌ m ə n z
sumo	s u m o ʊ
sump	s ʌ m p
sumpter	s ʌ m p t ə
sumptuous	s ʌ m p t͡ʃ u ə s
sums	s ʌ m z
sumter	s ʌ m t ə ɹ
sumti	s u m t i
sun	s ʌ n
sunami	s u n ɑ m i
sunbittern	s ʌ n b ɪ t ə n
sunburn	s ʌ n b ɝ n
sundanese	s ʌ n d ə n i z
sundeck	s ʌ n d ɛ k
sunder	s ʌ n d ɚ
sunderland	s ʌ n d ə ɹ l ə n d
sunfish	s ʌ n f ɪ ʃ
sunflower	s ʌ n f l a ʊ ɚ
sunflowers	s ʌ n f l a ʊ ɚ z
sung	s ʌ ŋ
sungrebe	s ʌ n ɡ ɹ i b
sunlight	s ʌ n l a ɪ t
sunlit	s ʌ n l ɪ t
sunni	s ʊ n i
sunporch	s ʌ n p ɔ ɹ t͡ʃ
sunrise	s ʌ n ɹ a ɪ z
suns	s ʌ n z
sunset	s ʌ n s ɛ t
sunspot	s ʌ n s p ɑ t
sunup	s ʌ n ʌ p
suny	s u n i
suomi	s w ɔ m i
suona	s w o ʊ n ɑ
sup	s ʌ p
superadd	s u p ə ɹ æ d
superannuate	s u p ə ɹ æ n j u e ɪ t
superannuated	s u p ɚ æ n j u e ɪ t ɪ d
supercalifragilistic	s u p ɚ k æ l ɪ̈ f ɹ æ d͡ʒ ɪ̈ l ɪ s t ɪ k
supercalifragilisticexpialidocious	s u p ɚ k æ l ɪ̈ f ɹ æ d͡ʒ ɪ̈ l ɪ s t ɪ k ɛ k s p i æ l ɪ̈ d o ʊ ʃ ə s
superchron	s u p ə ɹ k ɹ ɔ n
supercilious	s j u p ɚ s ɪ l i ə s
supercommentary	s u p ɚ k ɑ m ə n t ɛ ɹ i
superconsequence	s u p ə ɹ k ɔ n s ɪ k w ə n s
supereminent	s u p ə ɹ ɛ m ɪ n ə n t
superfast	s u p ɚ f æ s t
superfetation	s u p ə f ə t e ɪ ʃ ə n
superfice	s u p ə ɹ f ɪ s
superficial	s u p ɚ f ɪ ʃ ə l
superfluity	s u p ə f l u ɪ t i
superfluous	s u p ɝ f l u ə s
superflux	s u p ə ɹ f l ʌ k s
supergrowth	s u p ə ɹ ɡ ɹ o ʊ θ
superhabitable	s u p ɚ h æ b ɪ t ə b l̩
superhero	s j u p ə ɹ h ɪ ɹ o ʊ
superhet	s u p ɚ h ɛ t
superintend	s u p ə ɹ ɪ n t ɛ n d
superior	s u p ɪ ɹ i ɚ
superlative	s u p ɝ l ə t ɪ v
supermajority	s j u p ɜ ɹ m ə d͡ʒ ɔ ɹ ɪ t i
supernormal	s u p ə ɹ n ɔ ɹ m ə l
supernumerary	s u p ɚ n j u m ə ɹ ɛ ɹ i
supersede	s u p ə s i d
superseminate	s u p ə ɹ s ɛ m ɪ n e ɪ t
supersensitivity	s u p ə ɹ s ɛ n s ə t ɪ v ə t i
supersession	s u p ɚ s ɛ ʃ ə n
superstitious	s j u p ɚ s t ɪ ʃ ə s
supersymmetric	s u p ə s ɪ m ɛ t ɹ ɪ k
supervacaneous	s u p ə ɹ v ə k e ɪ n ɪ ə s
supervision	s u p ɚ v ɪ ʒ ə n
supervisor	s u p ɚ v a ɪ z ɚ
supes	s u p s
supinate	s u p ə n e ɪ t
supine	s u p a ɪ n
suplex	s u p l ɛ k s
suppawn	s ə p ɔ n
suppedaneum	s ʌ p ɪ d e ɪ n ɪ ə m
supper	s ʌ p ɚ
supplace	s ə p l e ɪ s
supple	s ʌ p ə l
supplement	s ʌ p l ə m ə n t
suppletion	s ə p l i ʃ ə n
suppli	s u p l i
supplial	s ə p l a ɪ ə l
suppliant	s ʌ p l i ə n t
supplicant	s ʌ p l ɪ k ə n t
supplication	s ʌ p l ɪ k e ɪ ʃ ə n
supplied	s ə p l a ɪ d
supplier	s ə p l a ɪ ə
supplies	s ə p l a ɪ z
supplying	s ə p l a ɪ ɪ ŋ
support	s ə p ɔ ɹ t
supported	s ə p ɔ ɹ t ɪ d
supporting	s ə p ɔ ɹ t ɪ ŋ
supportive	s ə p ɔ ɹ t ɪ v
supposal	s ə p o ʊ z ə l
supposing	s ə p o ʊ z ɪ ŋ
supposition	s ʌ p ə z ɪ ʃ ə n
supposititious	s ə p ɑ z ə t ɪ ʃ ə s
suppository	s ə p ɑ z ɪ t ɔ ɹ i
suppress	s ə p ɹ ɛ s
suppressed	s ə p ɹ ɛ s t
suppurate	s ʌ p j ə r e ɪ t
suprasternal	s u p ɹ ə s t ɜ n ə l
supremacy	s u p ɹ ɛ m ə s i
surbet	s ɜ ɹ b ɪ t
surcingle	s ə ɹ s ɪ ŋ ɡ ɫ̩
surculation	s ɜ ɹ k j ʊ l e ɪ ʃ ə n
surd	s ɝ d
surement	ʃ ʊ ə ɹ m ə n t
sureness	ʃ ʊ ɹ n ə s
surface	s ɝ f ə s
surfboard	s ɝ f b ɔ ɹ d
surfeit	s ɝ f ɪ t
surfeiter	s ɝ f ɪ t ɚ
surfel	s ɜ ɹ f ə l
surge	s ɝ d͡ʒ
surgeful	s ɜ ɹ d͡ʒ f ə l
surgeon	s ɝ d͡ʒ ə n
surgeoncy	s ɝ d͡ʒ ə n s i
surjection	s ɜ ɹ d͡ʒ ɛ k ʃ ə n
surmount	s ɚ m a ʊ n t
surmullet	s ɚ m ə l ə t
surname	s ɝ n e ɪ m
surplice	s ɝ p l ɪ s
surprisal	s ə ɹ p ɹ a ɪ z ə l
surrect	s ə ɹ ɛ k t
surrender	s ə ɹ ɛ n d ə ɹ
surrey	s ʌ ɹ i
surrogacy	s ɝ ə ɡ ə s i
surround	s ə ɹ a ʊ n d
surrounded	s ə ɹ a ʊ n d ɪ d
surrounding	s ə ɹ a ʊ n d ɪ ŋ
surroundings	s ə ɹ a ʊ n d ɪ ŋ z
surveil	s ɚ v e ɪ l
surveillance	s ə ɹ v e ɪ l ə n s
surveyee	s ɜ ɹ v e ɪ i
survise	s ɜ ɹ v a ɪ z
survival	s ɚ v a ɪ v ə l
survive	s ɚ v a ɪ v
