ააგო	ɑ ɑ ɡ ɔ
უგემრიელესი	u ɡ ɛ m r i ɛ l ɛ s i
უგემურად	u ɡ ɛ m u r ɑ d
უგზო	u ɡ z ɔ
უგრძესი	u ɡ r d͡z ɛ s i
უგულებელყოფა	u ɡ u l ɛ b ɛ l qʼ ɔ pʰ ɑ
უგულო	u ɡ u l ɔ
უგუნებობა	u ɡ u n ɛ b ɔ b ɑ
უგუნურად	u ɡ u n u r ɑ d
უგუნურება	u ɡ u n u r ɛ b ɑ
უდავო	u d ɑ v ɔ
უდარდელად	u d ɑ r d ɛ l ɑ d
უდიდებულესობა	u d i d ɛ b u l ɛ s ɔ b ɑ
უდიდესი	u d i d ɛ s i
უდიერად	u d i ɛ r ɑ d
უდიერი	u d i ɛ r i
უდრის	u d r i s
უდროოდ	u d r ɔ ɔ d
უდრტვინველად	u d r tʼ v i n v ɛ l ɑ d
უელსი	u ɛ l s i
უემოციოდ	u ɛ m ɔ t͡s i ɔ d
უეცრად	u ɛ t͡s r ɑ d
უვარგისად	u v ɑ r ɡ i s ɑ d
უვიცი	u v i t͡s i
უვიცობა	u v i t͡s ɔ b ɑ
უვნებელი	u v n ɛ b ɛ l i
უვნებლად	u v n ɛ b l ɑ d
უზანგი	u z ɑ n ɡ i
უზენაესობა	u z ɛ n ɑ ɛ s ɔ b ɑ
უზნეო	u z n ɛ ɔ
უზომო	u z ɔ m ɔ
უზომოდ	u z ɔ m ɔ d
უზრდელობა	u z r d ɛ l ɔ b ɑ
უზრუნველად	u z r u n v ɛ l ɑ d
უზრუნველი	u z r u n v ɛ l i
უზურპატორი	u z u r pʼ ɑ tʼ ɔ r i
უზურპაცია	u z u r pʼ ɑ t͡s i ɑ
უზუსტო	u z u s tʼ ɔ
უზუსტობა	u z u s tʼ ɔ b ɑ
უთავო	u tʰ ɑ v ɔ
უთანაბრო	u tʰ ɑ n ɑ b r ɔ
უთანასწორობა	u tʰ ɑ n ɑ s t͡sʼ ɔ r ɔ b ɑ
უთანხმოება	u tʰ ɑ n x m ɔ ɛ b ɑ
უთენია	u tʰ ɛ n i ɑ
უთესლო	u tʰ ɛ s l ɔ
უთმო	u tʰ m ɔ
უთო	u tʰ ɔ
უთქვამს	u tʰ kʰ v ɑ m s
უიარაღო	u i ɑ r ɑ ɣ ɔ
უიმედო	u i m ɛ d ɔ
უიმედოდ	u i m ɛ d ɔ d
უინიციატივო	u i n i t͡s i ɑ tʼ i v ɔ
უინტერესო	u i n tʼ ɛ r ɛ s ɔ
უიღბლო	u i ɣ b l ɔ
უიშვიათესი	u i ʃ v i ɑ tʰ ɛ s i
უკამათოდ	u kʼ ɑ m ɑ tʰ ɔ d
უკან	u kʼ ɑ n
უკანასკნელი	u kʼ ɑ n ɑ s kʼ n ɛ l i
უკანონო	u kʼ ɑ n ɔ n ɔ
უკანონოდ	u kʼ ɑ n ɔ n ɔ d
უკაცრავად	u kʼ ɑ t͡s r ɑ v ɑ d
უკბილო	u kʼ b i l ɔ
უკეთესი	u kʼ ɛ tʰ ɛ s i
უკვე	u kʼ v ɛ
უკიდურესად	u kʼ i d u r ɛ s ɑ d
უკიდურესი	u kʼ i d u r ɛ s i
უკიდურესობა	u kʼ i d u r ɛ s ɔ b ɑ
უკმარისობა	u kʼ m ɑ r i s ɔ b ɑ
უკმაყოფილო	u kʼ m ɑ qʼ ɔ pʰ i l ɔ
უკმეხად	u kʼ m ɛ x ɑ d
უკმეხი	u kʼ m ɛ x i
უკნიდან	u kʼ n i d ɑ n
უკომპრომისო	u kʼ ɔ m pʼ r ɔ m i s ɔ
უკრავს	u kʼ r ɑ v s
უკრაინელი	u kʼ r ɑ i n ɛ l i
უკრაინული	u kʼ r ɑ i n u l i
უკუკავშირი	u kʼ u kʼ ɑ v ʃ i r i
უკუმოძრაობა	u kʼ u m ɔ d͡z r ɑ ɔ b ɑ
უკუქცევითი	u kʼ u kʰ t͡s ɛ v i tʰ i
ულამაზესი	u l ɑ m ɑ z ɛ s i
ულვაშებიანი	u l v ɑ ʃ ɛ b i ɑ n i
ულვაში	u l v ɑ ʃ i
ულტიმატუმი	u l tʼ i m ɑ tʼ u m i
ულტრათანამედროვე	u l tʼ r ɑ tʰ ɑ n ɑ m ɛ d r ɔ v ɛ
ულუფა	u l u pʰ ɑ
უმაგრესი	u m ɑ ɡ r ɛ s i
უმანკო	u m ɑ n kʼ ɔ
უმარილო	u m ɑ r i l ɔ
უმარტივესი	u m ɑ r tʼ i v ɛ s i
უმაღლესი	u m ɑ ɣ l ɛ s i
უმახვილო	u m ɑ x v i l ɔ
უმთავრესად	u m tʰ ɑ v r ɛ s ɑ d
უმი	u m i
უმიზეზო	u m i z ɛ z ɔ
უმნიშვნელოდ	u m n i ʃ v n ɛ l ɔ d
უმოქმედო	u m ɔ kʰ m ɛ d ɔ
უმოქმედობა	u m ɔ kʰ m ɛ d ɔ b ɑ
უმოძრაოდ	u m ɔ d͡z r ɑ ɔ d
უმრავლესობა	u m r ɑ v l ɛ s ɔ b ɑ
უმტკივნეულო	u m tʼ kʼ i v n ɛ u l ɔ
უმტკივნეულოდ	u m tʼ kʼ i v n ɛ u l ɔ d
უმუშევრობა	u m u ʃ ɛ v r ɔ b ɑ
უმცირესი	u m t͡s i r ɛ s i
უმცროსი	u m t͡s r ɔ s i
უმწეო	u m t͡sʼ ɛ ɔ
უმწეოდ	u m t͡sʼ ɛ ɔ d
უმწიკვლო	u m t͡sʼ i kʼ v l ɔ
უმჭიდროესი	u m t͡ʃʼ i d r ɔ ɛ s i
უნაზესი	u n ɑ z ɛ s i
უნაკლო	u n ɑ kʼ l ɔ
უნამუსო	u n ɑ m u s ɔ
უნარიანი	u n ɑ r i ɑ n i
უნარიანობა	u n ɑ r i ɑ n ɔ b ɑ
უნაყოფო	u n ɑ qʼ ɔ pʰ ɔ
უნაყოფოდ	u n ɑ qʼ ɔ pʰ ɔ d
უნგრეთი	u n ɡ r ɛ tʰ i
უნგრული	u n ɡ r u l i
უნდა	u n d ɑ
უნდობლობა	u n d ɔ b l ɔ b ɑ
უნებართვო	u n ɛ b ɑ r tʰ v ɔ
უნებლიე	u n ɛ b l i ɛ
უნებლიეთ	u n ɛ b l i ɛ tʰ
უნივერსალური	u n i v ɛ r s ɑ l u r i
უნივერსიტეტად	u n i v ɛ r s i tʼ ɛ tʼ ɑ d
უნივერსიტეტი	u n i v ɛ r s i tʼ ɛ tʼ i
უნივერსიტეტის	u n i v ɛ r s i tʼ ɛ tʼ i s
უნივერსიტეტმა	u n i v ɛ r s i tʼ ɛ tʼ m ɑ
უნივერსიტეტს	u n i v ɛ r s i tʼ ɛ tʼ s
უნიკალურად	u n i kʼ ɑ l u r ɑ d
უნიკალური	u n i kʼ ɑ l u r i
უნიკალურობა	u n i kʼ ɑ l u r ɔ b ɑ
უნისონი	u n i s ɔ n i
უნიტაზი	u n i tʼ ɑ z i
უნიტარული	u n i tʼ ɑ r u l i
უნუგეშო	u n u ɡ ɛ ʃ ɔ
უნუნოქტიუმი	u n u n ɔ kʰ tʼ i u m i
უპასუხა	u pʼ ɑ s u x ɑ
უპასუხებს	u pʼ ɑ s u x ɛ b s
უპასუხო	u pʼ ɑ s u x ɔ
უპატრონო	u pʼ ɑ tʼ r ɔ n ɔ
უპირატესად	u pʼ i r ɑ tʼ ɛ s ɑ d
უპირატესი	u pʼ i r ɑ tʼ ɛ s i
უპირატესობა	u pʼ i r ɑ tʼ ɛ s ɔ b ɑ
უპირველესად	u pʼ i r v ɛ l ɛ s ɑ d
უპირობო	u pʼ i r ɔ b ɔ
უპირობოდ	u pʼ i r ɔ b ɔ d
უპიროდ	u pʼ i r ɔ d
უპრეტენზიო	u pʼ r ɛ tʼ ɛ n z i ɔ
უპრეცედენტო	u pʼ r ɛ t͡s ɛ d ɛ n tʼ ɔ
უპრეცენდენტოდ	u pʼ r ɛ t͡s ɛ n d ɛ n tʼ ɔ d
უპრინციპო	u pʼ r i n t͡s i pʼ ɔ
ურანი	u r ɑ n i
ურბანიზაცია	u r b ɑ n i z ɑ t͡s i ɑ
ურდო	u r d ɔ
ურემი	u r ɛ m i
ურთიერთობა	u r tʰ i ɛ r tʰ ɔ b ɑ
ურიგო	u r i ɡ ɔ
ურნა	u r n ɑ
ურო	u r ɔ
ურუგვაი	u r u ɡ v ɑ i
ურყევად	u r qʼ ɛ v ɑ d
ურყევი	u r qʼ ɛ v i
ურჩი	u r t͡ʃ i
ურჩობა	u r t͡ʃ ɔ b ɑ
ურჩხული	u r t͡ʃ x u l i
ურცხვად	u r t͡s x v ɑ d
ურცხვი	u r t͡s x v i
ურწმუნო	u r t͡sʼ m u n ɔ
ურწმუნოება	u r t͡sʼ m u n ɔ ɛ b ɑ
უსაბუთო	u s ɑ b u tʰ ɔ
უსაზიზღრესი	u s ɑ z i z ɣ r ɛ s i
უსაზღვრო	u s ɑ z ɣ v r ɔ
უსაზღვროდ	u s ɑ z ɣ v r ɔ d
უსამართლობა	u s ɑ m ɑ r tʰ l ɔ b ɑ
უსასრულო	u s ɑ s r u l ɔ
უსაფრთხოება	u s ɑ pʰ r tʰ x ɔ ɛ b ɑ
უსაფუძვლო	u s ɑ pʰ u d͡z v l ɔ
უსაქმური	u s ɑ kʰ m u r i
უსაქმურობა	u s ɑ kʰ m u r ɔ b ɑ
უსახელო	u s ɑ x ɛ l ɔ
უსახლკარო	u s ɑ x l kʼ ɑ r ɔ
უსახო	u s ɑ x ɔ
უსიამოვნება	u s i ɑ m ɔ v n ɛ b ɑ
უსიამოვნოდ	u s i ɑ m ɔ v n ɔ d
უსირცხვილობა	u s i r t͡s x v i l ɔ b ɑ
უსისტემო	u s i s tʼ ɛ m ɔ
უსიტყვო	u s i tʼ qʼ v ɔ
უსმენს	u s m ɛ n s
უსტაბაში	u s tʼ ɑ b ɑ ʃ i
უსულო	u s u l ɔ
უსულოდ	u s u l ɔ d
უსუნო	u s u n ɔ
უსუფთაო	u s u pʰ tʰ ɑ ɔ
უსწორმასწორო	u s t͡sʼ ɔ r m ɑ s t͡sʼ ɔ r ɔ
უსწრაფესი	u s t͡sʼ r ɑ pʰ ɛ s i
უტაქტო	u tʼ ɑ kʰ tʼ ɔ
უტაქტოდ	u tʼ ɑ kʰ tʼ ɔ d
უტილიტარული	u tʼ i l i tʼ ɑ r u l i
უტიფრად	u tʼ i pʰ r ɑ d
უტოპია	u tʼ ɔ pʼ i ɑ
უტოპიური	u tʼ ɔ pʼ i u r i
უტყუარი	u tʼ qʼ u ɑ r i
უტყუარობა	u tʼ qʼ u ɑ r ɔ b ɑ
უუნარობა	u u n ɑ r ɔ b ɑ
უუფლებო	u u pʰ l ɛ b ɔ
უფასო	u pʰ ɑ s ɔ
უფასოდ	u pʰ ɑ s ɔ d
უფერული	u pʰ ɛ r u l i
უფლება	u pʰ l ɛ b ɑ
უფლებამოსილი	u pʰ l ɛ b ɑ m ɔ s i l i
უფლისწული	u pʰ l i s t͡sʼ u l i
უფორმო	u pʰ ɔ r m ɔ
უფორმოდ	u pʰ ɔ r m ɔ d
უფრო	u pʰ r ɔ
უფროსობა	u pʰ r ɔ s ɔ b ɑ
უქარო	u kʰ ɑ r ɔ
უქნარა	u kʰ n ɑ r ɑ
უქონელი	u kʰ ɔ n ɛ l i
უღელტეხილი	u ɣ ɛ l tʼ ɛ x i l i
უღირსად	u ɣ i r s ɑ d
უღლებადი	u ɣ l ɛ b ɑ d i
უღმერთო	u ɣ m ɛ r tʰ ɔ
უღმერთობა	u ɣ m ɛ r tʰ ɔ b ɑ
უღრანი	u ɣ r ɑ n i
უყვარს	u qʼ v ɑ r s
უყოყმანოდ	u qʼ ɔ qʼ m ɑ n ɔ d
უყურადღებო	u qʼ u r ɑ d ɣ ɛ b ɔ
უყურადღებობა	u qʼ u r ɑ d ɣ ɛ b ɔ b ɑ
უყურადღებოდ	u qʼ u r ɑ d ɣ ɛ b ɔ d
უყურებს	u qʼ u r ɛ b s
უშედეგოდ	u ʃ ɛ d ɛ ɡ ɔ d
უშეცდომოდ	u ʃ ɛ t͡s d ɔ m ɔ d
უშვებს	u ʃ v ɛ b s
უშველებელი	u ʃ v ɛ l ɛ b ɛ l i
უშველის	u ʃ v ɛ l i s
უშინაარსო	u ʃ i n ɑ ɑ r s ɔ
უშიშარი	u ʃ i ʃ ɑ r i
უშიშრად	u ʃ i ʃ r ɑ d
უშიშრობა	u ʃ i ʃ r ɔ b ɑ
უშნო	u ʃ n ɔ
უშუალო	u ʃ u ɑ l ɔ
უშუალობა	u ʃ u ɑ l ɔ b ɑ
უჩვეულო	u t͡ʃ v ɛ u l ɔ
უცაბედად	u t͡s ɑ b ɛ d ɑ d
უცებ	u t͡s ɛ b
უცენზურო	u t͡s ɛ n z u r ɔ
უცვლელად	u t͡s v l ɛ l ɑ d
უცვლელობა	u t͡s v l ɛ l ɔ b ɑ
უცნაურად	u t͡s n ɑ u r ɑ d
უცნაურობა	u t͡s n ɑ u r ɔ b ɑ
უცნობი	u t͡s n ɔ b i
უცოდველი	u t͡s ɔ d v ɛ l i
უცოდინარი	u t͡s ɔ d i n ɑ r i
უცოლო	u t͡s ɔ l ɔ
უცხო	u t͡s x ɔ
უცხოდ	u t͡s x ɔ d
უცხოური	u t͡s x ɔ u r i
უძველესი	u d͡z v ɛ l ɛ s i
უძვლო	u d͡z v l ɔ
უძილობა	u d͡z i l ɔ b ɑ
უძილოდ	u d͡z i l ɔ d
უძირო	u d͡z i r ɔ
უძლურად	u d͡z l u r ɑ d
უძლური	u d͡z l u r i
უძრავად	u d͡z r ɑ v ɑ d
უძრავი	u d͡z r ɑ v i
უძრაობა	u d͡z r ɑ ɔ b ɑ
უწესო	u t͡sʼ ɛ s ɔ
უწესობა	u t͡sʼ ɛ s ɔ b ɑ
უწესოდ	u t͡sʼ ɛ s ɔ d
უწესრიგობა	u t͡sʼ ɛ s r i ɡ ɔ b ɑ
უწესრიგობაში	u t͡sʼ ɛ s r i ɡ ɔ b ɑ ʃ i
უწესრიგოდ	u t͡sʼ ɛ s r i ɡ ɔ d
უწვერო	u t͡sʼ v ɛ r ɔ
უწიგნური	u t͡sʼ i ɡ n u r i
უწიგნურობა	u t͡sʼ i ɡ n u r ɔ b ɑ
უწინ	u t͡sʼ i n
უწმინდური	u t͡sʼ m i n d u r i
უწყება	u t͡sʼ qʼ ɛ b ɑ
უწყვეტად	u t͡sʼ qʼ v ɛ tʼ ɑ d
უწყვეტი	u t͡sʼ qʼ v ɛ tʼ i
უწყვეტობა	u t͡sʼ qʼ v ɛ tʼ ɔ b ɑ
უწყინარი	u t͡sʼ qʼ i n ɑ r i
უწყის	u t͡sʼ qʼ i s
უჭკვიანესი	u t͡ʃʼ kʼ v i ɑ n ɛ s i
უჭკუო	u t͡ʃʼ kʼ u ɔ
უხალისო	u x ɑ l i s ɔ
უხალისოდ	u x ɑ l i s ɔ d
უხამსი	u x ɑ m s i
უხარია	u x ɑ r i ɑ
უხეიროდ	u x ɛ i r ɔ d
უხერხემლო	u x ɛ r x ɛ m l ɔ
უხერხული	u x ɛ r x u l i
უხეშად	u x ɛ ʃ ɑ d
უხეში	u x ɛ ʃ i
უხეშობა	u x ɛ ʃ ɔ b ɑ
უხვად	u x v ɑ d
უხილავი	u x i l ɑ v i
უხმაურო	u x m ɑ u r ɔ
უხმაუროდ	u x m ɑ u r ɔ d
უხმო	u x m ɔ
უხმოდ	u x m ɔ d
უხორცო	u x ɔ r t͡s ɔ
უხსოვარი	u x s ɔ v ɑ r i
უჯრა	u d͡ʒ r ɑ
უჯრედი	u d͡ʒ r ɛ d i
ფავორიტი	pʰ ɑ v ɔ r i tʼ i
ფავორიტიზმი	pʰ ɑ v ɔ r i tʼ i z m i
ფაზა	pʰ ɑ z ɑ
ფაილი	pʰ ɑ i l i
ფალავანი	pʰ ɑ l ɑ v ɑ n i
ფანატიზმი	pʰ ɑ n ɑ tʼ i z m i
ფანატიკური	pʰ ɑ n ɑ tʼ i kʼ u r i
ფანდი	pʰ ɑ n d i
ფანდური	pʰ ɑ n d u r i
ფანტავს	pʰ ɑ n tʼ ɑ v s
ფანტაზია	pʰ ɑ n tʼ ɑ z i ɑ
ფანქარი	pʰ ɑ n kʰ ɑ r i
ფანჯარა	pʰ ɑ n d͡ʒ ɑ r ɑ
ფარავს	pʰ ɑ r ɑ v s
ფარაონი	pʰ ɑ r ɑ ɔ n i
ფარდა	pʰ ɑ r d ɑ
ფარდობითი	pʰ ɑ r d ɔ b i tʰ i
ფართე	pʰ ɑ r tʰ ɛ
ფართო	pʰ ɑ r tʰ ɔ
ფართოდ	pʰ ɑ r tʰ ɔ d
ფარიკაობა	pʰ ɑ r i kʼ ɑ ɔ b ɑ
ფარინგიტი	pʰ ɑ r i n ɡ i tʼ i
ფარისევლური	pʰ ɑ r i s ɛ v l u r i
ფარმაკოლოგია	pʰ ɑ r m ɑ kʼ ɔ l ɔ ɡ i ɑ
ფარმაკოპეა	pʰ ɑ r m ɑ kʼ ɔ pʼ ɛ ɑ
ფარმაცევტული	pʰ ɑ r m ɑ t͡s ɛ v tʼ u l i
ფარულად	pʰ ɑ r u l ɑ d
ფარული	pʰ ɑ r u l i
ფარჩაკი	pʰ ɑ r t͡ʃ ɑ kʼ i
ფასადი	pʰ ɑ s ɑ d i
ფასდაკლება	pʰ ɑ s d ɑ kʼ l ɛ b ɑ
ფასდაკლებული	pʰ ɑ s d ɑ kʼ l ɛ b u l i
ფასეულობა	pʰ ɑ s ɛ u l ɔ b ɑ
ფასი	pʰ ɑ s i
ფატალისტი	pʰ ɑ tʼ ɑ l i s tʼ i
ფატალური	pʰ ɑ tʼ ɑ l u r i
ფაუნა	pʰ ɑ u n ɑ
ფაფა	pʰ ɑ pʰ ɑ
ფაქიზად	pʰ ɑ kʰ i z ɑ d
ფაქიზი	pʰ ɑ kʰ i z i
ფაქტი	pʰ ɑ kʰ tʼ i
ფაქტიურად	pʰ ɑ kʰ tʼ i u r ɑ d
ფაქტობრივად	pʰ ɑ kʰ tʼ ɔ b r i v ɑ d
ფაქტორი	pʰ ɑ kʰ tʼ ɔ r i
ფაშიზმი	pʰ ɑ ʃ i z m i
ფაშისტი	pʰ ɑ ʃ i s tʼ i
ფაშისტური	pʰ ɑ ʃ i s tʼ u r i
ფედერალისტი	pʰ ɛ d ɛ r ɑ l i s tʼ i
ფედერალური	pʰ ɛ d ɛ r ɑ l u r i
ფედერაციამ	pʰ ɛ d ɛ r ɑ t͡s i ɑ m
ფედერაციას	pʰ ɛ d ɛ r ɑ t͡s i ɑ s
ფეთქებადი	pʰ ɛ tʰ kʰ ɛ b ɑ d i
ფეიერვერკი	pʰ ɛ i ɛ r v ɛ r kʼ i
ფეისბუქი	pʰ ɛ i s b u kʰ i
ფეიქარი	pʰ ɛ i kʰ ɑ r i
ფემინისტი	pʰ ɛ m i n i s tʼ i
ფენა	pʰ ɛ n ɑ
ფენოვანი	pʰ ɛ n ɔ v ɑ n i
ფენომენი	pʰ ɛ n ɔ m ɛ n i
ფეოდალიზმი	pʰ ɛ ɔ d ɑ l i z m i
ფერდი	pʰ ɛ r d i
ფერდობი	pʰ ɛ r d ɔ b i
ფერი	pʰ ɛ r i
ფერმა	pʰ ɛ r m ɑ
ფერმენტაცია	pʰ ɛ r m ɛ n tʼ ɑ t͡s i ɑ
ფერმენტი	pʰ ɛ r m ɛ n tʼ i
ფერმერი	pʰ ɛ r m ɛ r i
ფერმკრთალი	pʰ ɛ r m kʼ r tʰ ɑ l i
ფერფლი	pʰ ɛ r pʰ l i
ფერწერა	pʰ ɛ r t͡sʼ ɛ r ɑ
ფერწერული	pʰ ɛ r t͡sʼ ɛ r u l i
ფეტვი	pʰ ɛ tʼ v i
ფეხბურთი	pʰ ɛ x b u r tʰ i
ფეხი	pʰ ɛ x i
ფეხიფეხგადადებული	pʰ ɛ x i pʰ ɛ x ɡ ɑ d ɑ d ɛ b u l i
ფეხმარდი	pʰ ɛ x m ɑ r d i
ფეხმძიმე	pʰ ɛ x m d͡z i m ɛ
ფეხმძიმობა	pʰ ɛ x m d͡z i m ɔ b ɑ
ფეხსაცმელი	pʰ ɛ x s ɑ t͡s m ɛ l i
ფეხშიშველი	pʰ ɛ x ʃ i ʃ v ɛ l i
ფიასკო	pʰ i ɑ s kʼ ɔ
ფიგურალურად	pʰ i ɡ u r ɑ l u r ɑ d
ფიზიკა	pʰ i z i kʼ ɑ
ფიზიკოსი	pʰ i z i kʼ ɔ s i
ფიზიკური	pʰ i z i kʼ u r i
ფიზიოლოგი	pʰ i z i ɔ l ɔ ɡ i
ფიზიოლოგია	pʰ i z i ɔ l ɔ ɡ i ɑ
ფიზიოლოგიური	pʰ i z i ɔ l ɔ ɡ i u r i
ფილა	pʰ i l ɑ
ფილადელფია	pʰ i l ɑ d ɛ l pʰ i ɑ
ფილარმონიული	pʰ i l ɑ r m ɔ n i u l i
ფილი	pʰ i l i
ფილიპი	pʰ i l i pʼ i
ფილიპინები	pʰ i l i pʼ i n ɛ b i
ფილმი	pʰ i l m i
ფილმის	pʰ i l m i s
ფილმმა	pʰ i l m m ɑ
ფილმს	pʰ i l m s
ფილოლოგი	pʰ i l ɔ l ɔ ɡ i
ფილოლოგია	pʰ i l ɔ l ɔ ɡ i ɑ
ფილოლოგიური	pʰ i l ɔ l ɔ ɡ i u r i
ფილოსოფიურად	pʰ i l ɔ s ɔ pʰ i u r ɑ d
ფილოსოფიური	pʰ i l ɔ s ɔ pʰ i u r i
ფილოსოფოსი	pʰ i l ɔ s ɔ pʰ ɔ s i
ფილტვი	pʰ i l tʼ v i
ფილტრავს	pʰ i l tʼ r ɑ v s
ფილტრი	pʰ i l tʼ r i
ფინალი	pʰ i n ɑ l i
ფინალისტი	pʰ i n ɑ l i s tʼ i
ფინანსისტი	pʰ i n ɑ n s i s tʼ i
ფინანსურად	pʰ i n ɑ n s u r ɑ d
ფინანსური	pʰ i n ɑ n s u r i
ფინეთი	pʰ i n ɛ tʰ i
ფინური	pʰ i n u r i
ფინჯანი	pʰ i n d͡ʒ ɑ n i
ფირი	pʰ i r i
ფირმა	pʰ i r m ɑ
ფისი	pʰ i s i
ფისკალური	pʰ i s kʼ ɑ l u r i
ფიფია	pʰ i pʰ i ɑ
ფიცარი	pʰ i t͡s ɑ r i
ფიცარნაგი	pʰ i t͡s ɑ r n ɑ ɡ i
ფიცი	pʰ i t͡s i
ფიცხად	pʰ i t͡s x ɑ d
ფიცხი	pʰ i t͡s x i
ფიწალი	pʰ i t͡sʼ ɑ l i
ფიჭა	pʰ i t͡ʃʼ ɑ
ფლაგშტოკი	pʰ l ɑ ɡ ʃ tʼ ɔ kʼ i
ფლავი	pʰ l ɑ v i
ფლამინგო	pʰ l ɑ m i n ɡ ɔ
ფლანგავს	pʰ l ɑ n ɡ ɑ v s
ფლეგმატური	pʰ l ɛ ɡ m ɑ tʼ u r i
ფლეიტა	pʰ l ɛ i tʼ ɑ
ფლიგელი	pʰ l i ɡ ɛ l i
ფლიდი	pʰ l i d i
ფლინტი	pʰ l i n tʼ i
ფლობს	pʰ l ɔ b s
ფლორენცია	pʰ l ɔ r ɛ n t͡s i ɑ
ფლოტი	pʰ l ɔ tʼ i
ფლოქსი	pʰ l ɔ kʰ s i
ფოთი	pʰ ɔ tʰ i
ფოთლოვანი	pʰ ɔ tʰ l ɔ v ɑ n i
ფოთოლი	pʰ ɔ tʰ ɔ l i
ფოიე	pʰ ɔ i ɛ
ფოკუსი	pʰ ɔ kʼ u s i
ფოლი	pʰ ɔ l i
ფოლკლორი	pʰ ɔ l kʼ l ɔ r i
ფონეტიკა	pʰ ɔ n ɛ tʼ i kʼ ɑ
ფორვარდი	pʰ ɔ r v ɑ r d i
ფორთოხალი	pʰ ɔ r tʰ ɔ x ɑ l i
ფორმა	pʰ ɔ r m ɑ
ფორმალობა	pʰ ɔ r m ɑ l ɔ b ɑ
ფორმალურად	pʰ ɔ r m ɑ l u r ɑ d
ფორმალური	pʰ ɔ r m ɑ l u r i
ფორმატი	pʰ ɔ r m ɑ tʼ i
ფორმიანი	pʰ ɔ r m i ɑ n i
ფორმირება	pʰ ɔ r m i r ɛ b ɑ
ფორმულა	pʰ ɔ r m u l ɑ
ფორმულირება	pʰ ɔ r m u l i r ɛ b ɑ
ფორტეპიანო	pʰ ɔ r tʼ ɛ pʼ i ɑ n ɔ
ფორტიფიკაცია	pʰ ɔ r tʼ i pʰ i kʼ ɑ t͡s i ɑ
ფოსტა	pʰ ɔ s tʼ ɑ
ფოსფორი	pʰ ɔ s pʰ ɔ r i
ფოტო	pʰ ɔ tʼ ɔ
ფოტოაპარატი	pʰ ɔ tʼ ɔ ɑ pʼ ɑ r ɑ tʼ i
