abba	ɒ bː ɒ
utasítást	u t ɒ ʃ iː t aː ʃ t
utat	u t ɒ t
utazik	u t ɒ z i k
utaznak	u t ɒ z n ɒ k
utazni	u t ɒ z n i
utazás	u t ɒ z aː ʃ
utazási	u t ɒ z aː ʃ i
utazást	u t ɒ z aː ʃ t
utazók	u t ɒ z oː k
utca	u t͡sː ɒ
utcában	u t͡sː aː b ɒ n
utcákon	u t͡sː aː k o n
utcán	u t͡sː aː n
utcára	u t͡sː aː r ɒ
utcát	u t͡sː aː t
utoljára	u t o jː aː r ɒ
utunk	u t u ŋ k
után	u t aː n
utáni	u t aː n i
utánoz	u t aː n o z
utánpótlás	u t aː m p oː t l aː ʃ
utóbbi	u t oː bː i
utóbbiak	u t oː bː i j ɒ k
utóbbit	u t oː bː i t
utólag	u t oː l ɒ ɡ
utólagos	u t oː l ɒ ɡ o ʃ
utópisztikus	u t oː p i s t i k u ʃ
vacsora	v ɒ t͡ʃ o r ɒ
vacsorát	v ɒ t͡ʃ o r aː t
vad	v ɒ d
vadon	v ɒ d o n
vadonatúj	v ɒ d o n ɒ t uː j
vadász	v ɒ d aː s
vadászok	v ɒ d aː s o k
vagy	v ɒ ɟ
vagyis	v ɒ ɟ i ʃ
vagyok	v ɒ ɟ o k
vagyon	v ɒ ɟ o n
vagytok	v ɒ c t o k
vaj	v ɒ j
vajon	v ɒ j o n
valaha	v ɒ l ɒ h ɒ
valahogy	v ɒ l ɒ ɦ o ɟ
valahol	v ɒ l ɒ ɦ o l
valahová	v ɒ l ɒ ɦ o v aː
valaki	v ɒ l ɒ k i
valakik	v ɒ l ɒ k i k
valakinek	v ɒ l ɒ k i n ɛ k
valakinél	v ɒ l ɒ k i n eː l
valakiről	v ɒ l ɒ k i r øː l
valamely	v ɒ l ɒ m ɛ j
valamelyest	v ɒ l ɒ m ɛ j ɛ ʃ t
valamelyik	v ɒ l ɒ m ɛ j i k
valamennyi	v ɒ l ɒ m ɛ ɲː i
valamennyien	v ɒ l ɒ m ɛ ɲː i j ɛ n
valamennyiünk	v ɒ l ɒ m ɛ ɲː i j y ŋ k
valami	v ɒ l ɒ m i
valamikor	v ɒ l ɒ m i k o r
valamilyen	v ɒ l ɒ m i j ɛ n
valaminek	v ɒ l ɒ m i n ɛ k
valamint	v ɒ l ɒ m i n t
valamire	v ɒ l ɒ m i r ɛ
valamirevaló	v ɒ l ɒ m i r ɛ v ɒ l oː
valamit	v ɒ l ɒ m i t
valamivel	v ɒ l ɒ m i v ɛ l
vall	v ɒ lː
vallás	v ɒ lː aː ʃ
vallási	v ɒ lː aː ʃ i
vallások	v ɒ lː aː ʃ o k
vallásos	v ɒ lː aː ʃ o ʃ
vallásosság	v ɒ lː aː ʃ o ʃː aː ɡ
valuta	v ɒ l u t ɒ
valódi	v ɒ l oː d i
valójában	v ɒ l oː j aː b ɒ n
valós	v ɒ l oː ʃ
valószínűleg	v ɒ l oː s iː n yː l ɛ ɡ
valószínűséggel	v ɒ l oː s iː n yː ʃ eː ɡː ɛ l
valóságos	v ɒ l oː ʃ aː ɡ o ʃ
van	v ɒ n
vannak	v ɒ nː ɒ k
varga	v ɒ r ɡ ɒ
varjújuk	v ɒ r j uː j u k
vas	v ɒ ʃ
vasas	v ɒ ʃ ɒ ʃ
vass	v ɒ ʃ
vasárnap	v ɒ ʃ aː r n ɒ p
vasárnapi	v ɒ ʃ aː r n ɒ p i
vasút	v ɒ ʃ uː t
vasúti	v ɒ ʃ uː t i
vb	v eː b eː
vedd	v ɛ dː
vegye	v ɛ ɟ ɛ
vegyenek	v ɛ ɟ ɛ n ɛ k
vegyes	v ɛ ɟ ɛ ʃ
vegyék	v ɛ ɟ eː k
vegyétek	v ɛ ɟ eː t ɛ k
vegyület	v ɛ ɟ y l ɛ t
vehetnek	v ɛ h ɛ t n ɛ k
vehettek	v ɛ h ɛ tː ɛ k
vele	v ɛ l ɛ
velem	v ɛ l ɛ m
velence	v ɛ l ɛ n t͡s ɛ
veleszületett	v ɛ l ɛ s y l ɛ t ɛ tː
velük	v ɛ l y k
velünk	v ɛ l y ŋ k
vendég	v ɛ n d eː ɡ
vendégek	v ɛ n d eː ɡ ɛ k
vendégeket	v ɛ n d eː ɡ ɛ k ɛ t
vendéget	v ɛ n d eː ɡ ɛ t
venni	v ɛ nː i
venné	v ɛ nː eː
vennénk	v ɛ nː eː ŋ k
vera	v ɛ r ɒ
verbális	v ɛ r b aː l i ʃ
verhetetlen	v ɛ r ɦ ɛ t ɛ t l ɛ n
vernek	v ɛ r n ɛ k
vers	v ɛ r ʃ
verse	v ɛ r ʃ ɛ
verseny	v ɛ r ʃ ɛ ɲ
versenyek	v ɛ r ʃ ɛ ɲ ɛ k
versenyen	v ɛ r ʃ ɛ ɲ ɛ n
versenyképes	v ɛ r ʃ ɛ ɲ k eː p ɛ ʃ
versenyre	v ɛ r ʃ ɛ ɲ r ɛ
versenyt	v ɛ r ʃ ɛ ɲ t
versenyző	v ɛ r ʃ ɛ ɲ z øː
versenyzők	v ɛ r ʃ ɛ ɲ z øː k
verset	v ɛ r ʃ ɛ t
vert	v ɛ r t
verte	v ɛ r t ɛ
vertikális	v ɛ r t i k aː l i ʃ
verzió	v ɛ r z i j oː
vessen	v ɛ ʃː ɛ n
vesszük	v ɛ sː y k
vesszők	v ɛ sː øː k
vesz	v ɛ s
veszem	v ɛ s ɛ m
veszi	v ɛ s i
veszik	v ɛ s i k
vesznek	v ɛ s n ɛ k
veszprém	v ɛ s p r eː m
veszprémi	v ɛ s p r eː m i
veszte	v ɛ s t ɛ
veszteség	v ɛ s t ɛ ʃ eː ɡ
veszteséget	v ɛ s t ɛ ʃ eː ɡ ɛ t
veszve	v ɛ s v ɛ
veszély	v ɛ s eː j
veszélybe	v ɛ s eː j b ɛ
veszélyben	v ɛ s eː j b ɛ n
veszélyes	v ɛ s eː j ɛ ʃ
veszélyesebb	v ɛ s eː j ɛ ʃ ɛ bː
veszünk	v ɛ s y ŋ k
vetem	v ɛ t ɛ m
veterán	v ɛ t ɛ r aː n
vetet	v ɛ t ɛ t
vetettem	v ɛ t ɛ tː ɛ m
veti	v ɛ t i
vett	v ɛ tː
vette	v ɛ tː ɛ
vetted	v ɛ tː ɛ d
vettek	v ɛ tː ɛ k
vettem	v ɛ tː ɛ m
vették	v ɛ tː eː k
vettük	v ɛ tː y k
vettünk	v ɛ tː y ŋ k
vetület	v ɛ t y l ɛ t
vezet	v ɛ z ɛ t
vezetett	v ɛ z ɛ t ɛ tː
vezeti	v ɛ z ɛ t i
vezetnek	v ɛ z ɛ t n ɛ k
vezetni	v ɛ z ɛ t n i
vezette	v ɛ z ɛ tː ɛ
vezetékes	v ɛ z ɛ t eː k ɛ ʃ
vezetése	v ɛ z ɛ t eː ʃ ɛ
vezetését	v ɛ z ɛ t eː ʃ eː t
vezető	v ɛ z ɛ t øː
vezetőedző	v ɛ z ɛ t øː ɛ d͡zː øː
vezetői	v ɛ z ɛ t øː j i
vezetőinek	v ɛ z ɛ t øː j i n ɛ k
vezetője	v ɛ z ɛ t øː j ɛ
vezetőjének	v ɛ z ɛ t øː j eː n ɛ k
vezetők	v ɛ z ɛ t øː k
vezetőkkel	v ɛ z ɛ t øː kː ɛ l
vezetőknek	v ɛ z ɛ t øː k n ɛ k
vezetőnek	v ɛ z ɛ t øː n ɛ k
vezetőt	v ɛ z ɛ t øː t
vezér	v ɛ z eː r
vezérigazgató	v ɛ z eː r i ɡ ɒ z ɡ ɒ t oː
vezérlő	v ɛ z eː r l øː
videók	v i d ɛ oː k
videót	v i d ɛ oː t
vidéken	v i d eː k ɛ n
vidéki	v i d eː k i
vigye	v i ɟ ɛ
vigyázz	v i ɟ aː zː
vigyük	v i ɟ y k
viharok	v i ɦ ɒ r o k
vihart	v i ɦ ɒ r t
viktor	v i k t o r
villant	v i lː ɒ n t
villany	v i lː ɒ ɲ
villanyt	v i lː ɒ ɲ t
villányi	v i lː aː ɲ i
villát	v i lː aː t
világ	v i l aː ɡ
világbajnoki	v i l aː ɡ b ɒ j n o k i
világban	v i l aː ɡ b ɒ n
világgal	v i l aː ɡː ɒ l
világgazdaság	v i l aː ɡː ɒ z d ɒ ʃ aː ɡ
világháború	v i l aː k h aː b o r uː
világhírű	v i l aː k h iː r yː
világokról	v i l aː ɡ o k r oː l
világon	v i l aː ɡ o n
világos	v i l aː ɡ o ʃ
világosabb	v i l aː ɡ o ʃ ɒ bː
világosan	v i l aː ɡ o ʃ ɒ n
világossá	v i l aː ɡ o ʃː aː
világosság	v i l aː ɡ o ʃː aː ɡ
világot	v i l aː ɡ o t
világra	v i l aː ɡ r ɒ
világról	v i l aː ɡ r oː l
világszerte	v i l aː k s ɛ r t ɛ
világtól	v i l aː k t oː l
világvége	v i l aː ɡ v eː ɡ ɛ
vinne	v i nː ɛ
virsli	v i r ʃ l i
virtuális	v i r t u aː l i ʃ
virágot	v i r aː ɡ o t
visel	v i ʃ ɛ l
viselni	v i ʃ ɛ l n i
viselő	v i ʃ ɛ l øː
vissza	v i sː ɒ
visszaesés	v i sː ɒ ɛ ʃ eː ʃ
visszaesések	v i sː ɒ ɛ ʃ eː ʃ ɛ k
visszafelé	v i sː ɒ f ɛ l eː
visszaható	v i sː ɒ h ɒ t oː
visszatér	v i sː ɒ t eː r
viszed	v i s ɛ d
viszi	v i s i
visznek	v i s n ɛ k
viszont	v i s o n t
viszonthallásra	v i s o n t h ɒ lː aː ʃ r ɒ
viszony	v i s o ɲ
viszonyban	v i s o ɲ b ɒ n
viszonylat	v i s o ɲ l ɒ t
viszonyok	v i s o ɲ o k
viszonyát	v i s o ɲ aː t
vitathatatlan	v i t ɒ t h ɒ t ɒ t l ɒ n
vitorlás	v i t o r l aː ʃ
vitt	v i tː
vitte	v i tː ɛ
vitték	v i tː eː k
vitás	v i t aː ʃ
vizek	v i z ɛ k
vizes	v i z ɛ ʃ
vizet	v i z ɛ t
vizsga	v i ʒ ɡ ɒ
vizsgálat	v i ʒ ɡ aː l ɒ t
vizsgálata	v i ʒ ɡ aː l ɒ t ɒ
vizsgálatokat	v i ʒ ɡ aː l ɒ t o k ɒ t
vizsgálatot	v i ʒ ɡ aː l ɒ t o t
vizsgálatra	v i ʒ ɡ aː l ɒ t r ɒ
vizsgálatára	v i ʒ ɡ aː l ɒ t aː r ɒ
vizsgálja	v i ʒ ɡ aː jː ɒ
vizsgáljuk	v i ʒ ɡ aː jː u k
vizsgálni	v i ʒ ɡ aː l n i
vizsgálta	v i ʒ ɡ aː l t ɒ
vizuális	v i z u aː l i ʃ
volna	v o l n ɒ
volnék	v o l n eː k
volt	v o l t
voltak	v o l t ɒ k
voltaképpen	v o l t ɒ k eː pː ɛ n
volán	v o l aː n
von	v o n
vonal	v o n ɒ l
vonalat	v o n ɒ l ɒ t
vonat	v o n ɒ t
vonatkozik	v o n ɒ t k o z i k
vonatkozása	v o n ɒ t k o z aː ʃ ɒ
vonatkozásban	v o n ɒ t k o z aː ʒ b ɒ n
vonatkozásában	v o n ɒ t k o z aː ʃ aː b ɒ n
vonatkozó	v o n ɒ t k o z oː
vonatok	v o n ɒ t o k
vonattal	v o n ɒ tː ɒ l
vonta	v o n t ɒ
vonták	v o n t aː k
vonz	v o n z
vonzanak	v o n z ɒ n ɒ k
vonzza	v o n z ɒ
vonzó	v o n z oː
vonás	v o n aː ʃ
vulkáni	v u l k aː n i
vác	v aː t͡s
vádolja	v aː d o jː ɒ
vágy	v aː ɟ
vágya	v aː ɟ ɒ
vágyak	v aː ɟ ɒ k
vágyik	v aː ɟ i k
vágynak	v aː ɟ n ɒ k
vágó	v aː ɡ oː
válaszolni	v aː l ɒ s o l n i
válaszolta	v aː l ɒ s o l t ɒ
válaszoltak	v aː l ɒ s o l t ɒ k
válaszoltam	v aː l ɒ s o l t ɒ m
válaszoló	v aː l ɒ s o l oː
választanak	v aː l ɒ s t ɒ n ɒ k
választani	v aː l ɒ s t ɒ n i
választhat	v aː l ɒ s t h ɒ t
választható	v aː l ɒ s t h ɒ t oː
választják	v aː l ɒ s c aː k
választott	v aː l ɒ s t o tː
választotta	v aː l ɒ s t o tː ɒ
választották	v aː l ɒ s t o tː aː k
választás	v aː l ɒ s t aː ʃ
választása	v aː l ɒ s t aː ʃ ɒ
választási	v aː l ɒ s t aː ʃ i
választások	v aː l ɒ s t aː ʃ o k
választásokon	v aː l ɒ s t aː ʃ o k o n
választáson	v aː l ɒ s t aː ʃ o n
választást	v aː l ɒ s t aː ʃ t
választék	v aː l ɒ s t eː k
választó	v aː l ɒ s t oː
választók	v aː l ɒ s t oː k
választókerület	v aː l ɒ s t oː k ɛ r y l ɛ t
válik	v aː l i k
váljon	v aː jː o n
vállalat	v aː lː ɒ l ɒ t
vállalatok	v aː lː ɒ l ɒ t o k
vállaljuk	v aː lː ɒ jː u k
vállalkozás	v aː lː ɒ l k o z aː ʃ
vállalkozási	v aː lː ɒ l k o z aː ʃ i
vállalkozások	v aː lː ɒ l k o z aː ʃ o k
vállalkozó	v aː lː ɒ l k o z oː
vállalkozók	v aː lː ɒ l k o z oː k
vállalni	v aː lː ɒ l n i
vállaltam	v aː lː ɒ l t ɒ m
válnak	v aː l n ɒ k
válni	v aː l n i
válogatott	v aː l o ɡ ɒ t o tː
válogatás	v aː l o ɡ ɒ t aː ʃ
válság	v aː l ʃ aː ɡ
válságok	v aː l ʃ aː ɡ o k
vált	v aː l t
váltakozik	v aː l t ɒ k o z i k
váltaná	v aː l t ɒ n aː
váltják	v aː l c aː k
váltott	v aː l t o tː
váltotta	v aː l t o tː ɒ
változat	v aː l t o z ɒ t
változata	v aː l t o z ɒ t ɒ
változatos	v aː l t o z ɒ t o ʃ
változik	v aː l t o z i k
változott	v aː l t o z o tː
változtatni	v aː l t o s t ɒ t n i
változtatás	v aː l t o s t ɒ t aː ʃ
változás	v aː l t o z aː ʃ
változása	v aː l t o z aː ʃ ɒ
változások	v aː l t o z aː ʃ o k
változást	v aː l t o z aː ʃ t
változékony	v aː l t o z eː k o ɲ
változó	v aː l t o z oː
váltva	v aː l t v ɒ
váltó	v aː l t oː
váló	v aː l oː
vár	v aː r
várakozás	v aː r ɒ k o z aː ʃ
várat	v aː r ɒ t
váratlan	v aː r ɒ t l ɒ n
várható	v aː r ɦ ɒ t oː
várhatóan	v aː r ɦ ɒ t oː ɒ n
várja	v aː r j ɒ
várjuk	v aː r j u k
várják	v aː r j aː k
várjátok	v aː r j aː t o k
várnak	v aː r n ɒ k
várni	v aː r n i
várom	v aː r o m
város	v aː r o ʃ
városa	v aː r o ʃ ɒ
városban	v aː r o ʒ b ɒ n
városháza	v aː r o ʃ h aː z ɒ
városi	v aː r o ʃ i
városnak	v aː r o ʃ n ɒ k
városok	v aː r o ʃ o k
várost	v aː r o ʃ t
városában	v aː r o ʃ aː b ɒ n
várva	v aː r v ɒ
váró	v aː r oː
várók	v aː r oː k
vásár	v aː ʃ aː r
vásárlási	v aː ʃ aː r l aː ʃ i
vásárlók	v aː ʃ aː r l oː k
vásárolható	v aː ʃ aː r o l ɦ ɒ t oː
védekezés	v eː d ɛ k ɛ z eː ʃ
védelme	v eː d ɛ l m ɛ
védelmi	v eː d ɛ l m i
védelmében	v eː d ɛ l m eː b ɛ n
védelméről	v eː d ɛ l m eː r øː l
védeni	v eː d ɛ n i
védett	v eː d ɛ tː
védjegy	v eː d j ɛ ɟ
védő	v eː d øː
végbe	v eː ɡ b ɛ
végbélnyílás	v eː ɡ b eː l ɲ iː l aː ʃ
végeredmény	v eː ɡ ɛ r ɛ d m eː ɲ
véget	v eː ɡ ɛ t
végez	v eː ɡ ɛ z
végezetül	v eː ɡ ɛ z ɛ t y l
végezni	v eː ɡ ɛ z n i
végi	v eː ɡ i
végig	v eː ɡ i ɡ
végre	v eː ɡ r ɛ
végrehajtani	v eː ɡ r ɛ ɦ ɒ j t ɒ n i
végrehajtási	v eː ɡ r ɛ ɦ ɒ j t aː ʃ i
végrehajtását	v eː ɡ r ɛ ɦ ɒ j t aː ʃ aː t
végzetes	v eː ɡ z ɛ t ɛ ʃ
végzett	v eː ɡ z ɛ tː
végzettség	v eː ɡ z ɛ t͡ʃː eː ɡ
végzi	v eː ɡ z i
végző	v eː ɡ z øː
vékony	v eː k o ɲ
vél	v eː l
vélekedik	v eː l ɛ k ɛ d i k
vélemény	v eː l ɛ m eː ɲ
véleménye	v eː l ɛ m eː ɲ ɛ
vélemények	v eː l ɛ m eː ɲ ɛ k
véleményem	v eː l ɛ m eː ɲ ɛ m
véleményt	v eː l ɛ m eː ɲ t
véleményét	v eː l ɛ m eː ɲ eː t
véletlen	v eː l ɛ t l ɛ n
véletlenszerűen	v eː l ɛ t l ɛ n s ɛ r yː ɛ n
véletlenül	v eː l ɛ t l ɛ n y l
vélik	v eː l i k
vér	v eː r
vérnyomás	v eː r ɲ o m aː ʃ
vétele	v eː t ɛ l ɛ
vételi	v eː t ɛ l i
vételével	v eː t ɛ l eː v ɛ l
véve	v eː v ɛ
víg	v iː ɡ
vígjáték	v iː ɡ j aː t eː k
vírus	v iː r u ʃ
víz	v iː z
vízben	v iː z b ɛ n
vízen	v iː z ɛ n
vízi	v iː z i
vízilabda	v i z i l ɒ b d ɒ
vízvezeték	v iː z v ɛ z ɛ t eː k
vízvezetékek	v iː z v ɛ z ɛ t eː k ɛ k
vízzel	v iː zː ɛ l
vödröt	v ø d r ø t
völgy	v ø l ɟ
vörösmarty	v ø r ø ʃ m ɒ r t i
washington	v ɒ ʃ i ŋ k t o n
washingtoni	v ɒ ʃ i ŋ k t o n i
wc	v eː t͡s eː
web	v ɛ b
weben	v ɛ b ɛ n
webes	v ɛ b ɛ ʃ
weblap	v ɛ b l ɒ p
weboldalon	v ɛ b o l d ɒ l o n
who	v eː ɦ aː oː
william	v i l i j ɛ m
zaj	z ɒ j
zajlik	z ɒ j l i k
zala	z ɒ l ɒ
zamatos	z ɒ m ɒ t o ʃ
zavarta	z ɒ v ɒ r t ɒ
zavartalan	z ɒ v ɒ r t ɒ l ɒ n
zeller	z ɛ lː ɛ r
zene	z ɛ n ɛ
zenei	z ɛ n ɛ j i
zenekar	z ɛ n ɛ k ɒ r
zenekari	z ɛ n ɛ k ɒ r i
zenekart	z ɛ n ɛ k ɒ r t
zeneszerző	z ɛ n ɛ s ɛ r z øː
zenés	z ɛ n eː ʃ
zenész	z ɛ n eː s
zenészek	z ɛ n eː s ɛ k
zenét	z ɛ n eː t
zichy	z i t͡ʃ i
zoltán	z o l t aː n
zongorista	z o ŋ ɡ o r i ʃ t ɒ
zrínyi	z r iː ɲ i
zsidóság	ʒ i d oː ʃ aː ɡ
zsinat	ʒ i n ɒ t
zsinórban	ʒ i n oː r b ɒ n
zsuzsanna	ʒ u ʒ ɒ nː ɒ
zsíros	ʒ iː r o ʃ
zsófi	ʒ oː f i
zsófia	ʒ oː f i j ɒ
zsűri	ʒ yː r i
zuhatag	z u ɦ ɒ t ɒ ɡ
záporok	z aː p o r o k
zárat	z aː r ɒ t
zárda	z aː r d ɒ
zárható	z aː r ɦ ɒ t oː
zárni	z aː r n i
zárom	z aː r o m
zárták	z aː r t aː k
zárul	z aː r u l
zárójelben	z aː r oː j ɛ l b ɛ n
zászlók	z aː s l oː k
zászlót	z aː s l oː t
zöld	z ø l d
zöldkártya	z ø l t k aː r c ɒ
zűrzavaros	z yː r z ɒ v ɒ r o ʃ
ábrázol	aː b r aː z o l
ábrázoló	aː b r aː z o l oː
ág	aː ɡ
ágazat	aː ɡ ɒ z ɒ t
ágyon	aː ɟ o n
álcák	aː l t͡s aː k
áldj	aː l ɟ
áldozat	aː l d o z ɒ t
áldozatok	aː l d o z ɒ t o k
áldozatot	aː l d o z ɒ t o t
áldozatul	aː l d o z ɒ t u l
áll	aː lː
állam	aː lː ɒ m
államfő	aː lː ɒ ɱ f øː
államháztartás	aː lː ɒ m ɦ aː s t ɒ r t aː ʃ
állami	aː lː ɒ m i
államkincstár	aː lː ɒ m k i n t͡ʃ t aː r
államok	aː lː ɒ m o k
állampolgári	aː lː ɒ m p o l ɡ aː r i
állampolgárság	aː lː ɒ m p o l ɡ aː r ʃ aː ɡ
állampolgárságú	aː lː ɒ m p o l ɡ aː r ʃ aː ɡ uː
államtitkár	aː lː ɒ m t i t k aː r
államtitkára	aː lː ɒ m t i t k aː r ɒ
állandó	aː lː ɒ n d oː
állandóan	aː lː ɒ n d oː ɒ n
állandóság	aː lː ɒ n d oː ʃ aː ɡ
állapot	aː lː ɒ p o t
állapotban	aː lː ɒ p o d b ɒ n
állapotos	aː lː ɒ p o t o ʃ
állapotot	aː lː ɒ p o t o t
állapít	aː lː ɒ p iː t
állat	aː lː ɒ t
állati	aː lː ɒ t i
állatkertek	aː lː ɒ t k ɛ r t ɛ k
állatok	aː lː ɒ t o k
állatorvos	aː lː ɒ t o r v o ʃ
állatorvosi	aː lː ɒ t o r v o ʃ i
állja	aː jː ɒ
álljon	aː jː o n
állnak	aː l n ɒ k
állnia	aː l n i j ɒ
állomány	aː lː o m aː ɲ
állomás	aː lː o m aː ʃ
állomása	aː lː o m aː ʃ ɒ
állomások	aː lː o m aː ʃ o k
állott	aː lː o tː
állt	aː l t
állták	aː l t aː k
állunk	aː lː u ŋ k
állva	aː l v ɒ
állás	aː lː aː ʃ
állások	aː lː aː ʃ o k
álláspont	aː lː aː ʃ p o n t
álláspontja	aː lː aː ʃ p o ɲ c ɒ
álláspontját	aː lː aː ʃ p o ɲ c aː t
állást	aː lː aː ʃ t
állítani	aː lː iː t ɒ n i
állítja	aː lː iː cː ɒ
állítva	aː lː iː t v ɒ
állítás	aː lː iː t aː ʃ
állítása	aː lː iː t aː ʃ ɒ
állítólag	aː lː iː t oː l ɒ ɡ
álló	aː lː oː
álmai	aː l m ɒ j i
álmos	aː l m o ʃ
álmát	aː l m aː t
álom	aː l o m
által	aː l t ɒ l
általuk	aː l t ɒ l u k
általában	aː l t ɒ l aː b ɒ n
általánosabb	aː l t ɒ l aː n o ʃ ɒ bː
ám	aː m
ápoltak	aː p o l t ɒ k
ápolás	aː p o l aː ʃ
ápolási	aː p o l aː ʃ i
áprilisban	aː p r i l i ʒ b ɒ n
áprilisában	aː p r i l i ʃ aː b ɒ n
ár	aː r
árai	aː r ɒ j i
árak	aː r ɒ k
áramkör	aː r ɒ m k ø r
árban	aː r b ɒ n
árbóc	aː r b oː t͡s
árfolyam	aː r f o j ɒ m
árfolyamok	aː r f o j ɒ m o k
árkok	aː r k o k
áron	aː r o n
árral	aː rː ɒ l
árt	aː r t
ártalmas	aː r t ɒ l m ɒ ʃ
ártatlan	aː r t ɒ t l ɒ n
ártatlanok	aː r t ɒ t l ɒ n o k
áru	aː r u
árut	aː r u t
árva	aː r v ɒ
árvíz	aː r v iː z
árú	aː r uː
áshat	aː ʃ h ɒ t
ásnak	aː ʃ n ɒ k
át	aː t
átadás	aː t ɒ d aː ʃ
átadása	aː t ɒ d aː ʃ ɒ
átalakul	aː t ɒ l ɒ k u l
átalakulások	aː t ɒ l ɒ k u l aː ʃ o k
átkelőhely	aː t k ɛ l øː ɦ ɛ j
átlag	aː t l ɒ ɡ
átlagban	aː t l ɒ ɡ b ɒ n
átlagnál	aː t l ɒ ɡ n aː l
átlagos	aː t l ɒ ɡ o ʃ
átlagosan	aː t l ɒ ɡ o ʃ ɒ n
átlagosnál	aː t l ɒ ɡ o ʃ n aː l
átlát	aː t l aː t
átmeneti	aː t m ɛ n ɛ t i
átmérő	aː t m eː r øː
áttekinthető	aː tː ɛ k i n t h ɛ t øː
átvitel	aː t v i t ɛ l
ázsiai	aː ʒ i j ɒ j i
éber	eː b ɛ r
ébred	eː b r ɛ d
ébresztőórák	eː b r ɛ s t øː oː r aː k
édes	eː d ɛ ʃ
édesanyja	eː d ɛ ʃ ɒ ɲː ɒ
édesanyám	eː d ɛ ʃ ɒ ɲ aː m
édesapja	eː d ɛ ʃ ɒ p j ɒ
ég	eː ɡ
égbe	eː ɡ b ɛ
égen	eː ɡ ɛ n
égett	eː ɡ ɛ tː
égi	eː ɡ i
égtájak	eː k t aː j ɒ k
égöv	eː ɡ ø v
égő	eː ɡ øː
éhes	eː ɦ ɛ ʃ
éjjel	eː jː ɛ l
éjszaka	eː j s ɒ k ɒ
éjszakába	eː j s ɒ k aː b ɒ
ékszer	eː k s ɛ r
él	eː l
élek	eː l ɛ k
élelme	eː l ɛ l m ɛ
élelmiszerek	eː l ɛ l m i s ɛ r ɛ k
élen	eː l ɛ n
éles	eː l ɛ ʃ
élesen	eː l ɛ ʃ ɛ n
élet	eː l ɛ t
életben	eː l ɛ d b ɛ n
élete	eː l ɛ t ɛ
életed	eː l ɛ t ɛ d
életem	eː l ɛ t ɛ m
életemben	eː l ɛ t ɛ m b ɛ n
életen	eː l ɛ t ɛ n
életet	eː l ɛ t ɛ t
élethez	eː l ɛ t h ɛ z
életkor	eː l ɛ t k o r
életmód	eː l ɛ t m oː d
életmódot	eː l ɛ t m oː d o t
életnek	eː l ɛ t n ɛ k
életre	eː l ɛ t r ɛ
életről	eː l ɛ t r øː l
élettartam	eː l ɛ tː ɒ r t ɒ m
életveszélyes	eː l ɛ t v ɛ s eː j ɛ ʃ
életébe	eː l ɛ t eː b ɛ
életéről	eː l ɛ t eː r øː l
életét	eː l ɛ t eː t
életút	eː l ɛ t uː t
életüket	eː l ɛ t y k ɛ t
életünk	eː l ɛ t y ŋ k
életünket	eː l ɛ t y ŋ k ɛ t
élhet	eː l ɦ ɛ t
éli	eː l i
élik	eː l i k
élnek	eː l n ɛ k
élni	eː l n i
élnének	eː l n eː n ɛ k
élt	eː l t
éltek	eː l t ɛ k
éltet	eː l t ɛ t
éltünk	eː l t y ŋ k
élve	eː l v ɛ
élvez	eː l v ɛ z
élvezet	eː l v ɛ z ɛ t
élvezetes	eː l v ɛ z ɛ t ɛ ʃ
élén	eː l eː n
élénk	eː l eː ŋ k
élére	eː l eː r ɛ
élünk	eː l y ŋ k
élősködők	eː l øː ʃ k ø d øː k
én	eː n
énekbe	eː n ɛ ɡ b ɛ
énekeltünk	eː n ɛ k ɛ l t y ŋ k
énekes	eː n ɛ k ɛ ʃ
énekesek	eː n ɛ k ɛ ʃ ɛ k
éneket	eː n ɛ k ɛ t
énekkar	eː n ɛ kː ɒ r
épp	eː pː
éppen	eː pː ɛ n
éppoly	eː pː o j
építeni	eː p iː t ɛ n i
építmény	eː p iː t m eː ɲ
építmények	eː p iː t m eː ɲ ɛ k
építési	eː p iː t eː ʃ i
építész	eː p iː t eː s
építőipari	eː p iː t øː j i p ɒ r i
építők	eː p iː t øː k
épül	eː p y l
épület	eː p y l ɛ t
épületbe	eː p y l ɛ d b ɛ
épületben	eː p y l ɛ d b ɛ n
épülete	eː p y l ɛ t ɛ
épületek	eː p y l ɛ t ɛ k
épületekben	eː p y l ɛ t ɛ ɡ b ɛ n
épületeket	eː p y l ɛ t ɛ k ɛ t
épületében	eː p y l ɛ t eː b ɛ n
épületét	eː p y l ɛ t eː t
épült	eː p y l t
épülő	eː p y l øː
ér	eː r
érdeke	eː r d ɛ k ɛ
érdekel	eː r d ɛ k ɛ l
érdekelni	eː r d ɛ k ɛ l n i
érdekelt	eː r d ɛ k ɛ l t
érdekes	eː r d ɛ k ɛ ʃ
érdekli	eː r d ɛ k l i
érdeklődtek	eː r d ɛ k l øː tː ɛ k
érdeklődés	eː r d ɛ k l øː d eː ʃ
érdeklődő	eː r d ɛ k l øː d øː
érdeklődőket	eː r d ɛ k l øː d øː k ɛ t
érdeklődőt	eː r d ɛ k l øː d øː t
érdekében	eː r d ɛ k eː b ɛ n
érdem	eː r d ɛ m
érdemes	eː r d ɛ m ɛ ʃ
érek	eː r ɛ k
érettségi	eː r ɛ t͡ʃː eː ɡ i
