aad	aː t
veiligheid	v ɛ i̯ l ə x ɦ ɛ i̯ t
veiling	v ɛ i̯ l ɪ ŋ
vel	v ɛ l
veldtocht	v ɛ l t ɔ x t
vele	v eː l ə
velen	v eː l ə n
vellen	v ɛ l ə n
velsen	v ɛ l z ə n
ven	v ɛ n
venkel	v ɛ ŋ k ə l
venlo	v ɛ n l oː
vennootschap	v ɛ n oː t s x ɑ p
vennootschapsbelasting	v ɛ n oː t s x ɑ p s b ə l ɑ s t ɪ ŋ
venster	v ɛ n s t ə r
vensterbank	v ɛ n s t ə r b ɑ ŋ k
ventiel	v ɛ n t i l
ventilator	v ɛ n t i l aː t ɔ r
ver	v ɛ r
veranda	v ə r ɑ n d aː
verantwoordelijk	v ə r ɑ n t ʋ oː r d ə l ə k
verantwoorden	v ə r ɑ n t ʋ oː r d ə n
verbaal	v ɛ r b aː l
verbinden	v ə r b ɪ n d ə n
verbod	v ə r b ɔ t
verder	v ɛ r d ə r
verdichtsel	v ɛ r d ɪ x t s ə l
verdieping	v ɛ r d i p ɪ ŋ
verdwaald	v ə r d ʋ aː l t
verenigd	v ə r eː n ɪ x t
verenigde	v ə r eː n ɪ ɣ d ə
verf	v ɛ r f
verfoeilijk	v ə r f u j l ə k
vergaren	v ə r ɣ aː r ə n
vergrootglas	v ə r ɣ r oː t x l ɑ s
verkalken	v ə r k ɑ l k ə n
verkeerd	v ə r k eː r t
verkeerde	v ə r k eː r d ə
verkoopprijs	v ɛ r k oː p r ɛ i̯ s
verkoopt	v ə r k oː p t
verkopen	v ə r k oː p ə n
verkracht	v ə r k r ɑ x t
verkrachten	v ə r k r ɑ x t ə n
verkrachting	v ə r k r ɑ x t ɪ ŋ
verkrachtingen	v ə r k r ɑ x t ɪ ŋ ə n
verkrachtte	v ə r k r ɑ x t ə
verkrachtten	v ə r k r ɑ x t ə n
verlaat	v ə r l aː t
verleiding	v ə r l ɛ i d ɪ ŋ
verliest	v ə r l i s t
verlof	v ə r l ɔ f
verloor	v ə r l oː r
verloren	v ə r l oː r ə n
vermogen	v ə r m oː ɣ ə n
vernietigen	v ə r n i t ə ɣ ə n
veroorzaken	v ə r oː r z aː k ə n
verraad	v ə r aː t
verre	v ɛ r ə
verrekijker	v ɛ r ə k ɛ i̯ k ə r
verrichten	v ə r ɪ x t ə n
verschillend	v ə r s x ɪ l ə n t
verschonen	v ə r s x oː n ə n
verschoven	v ə r s x oː v ə n
verschrikkelijk	v ə r s x r ɪ k ə l ə k
verschuift	v ə r s x œ y̯ f t
verschuiven	v ə r s x œ y̯ v ə n
versie	v ɛ r z i
verslag	v ə r s l ɑ x
verslaggever	v ə r s l ɑ x ɣ eː v ə r
verslinden	v ə r s l ɪ n d ə n
verspillen	v ɛ r s p ɪ l ə n
verspilling	v ə r s p ɪ l ɪ ŋ
vertaalwoordenboekjes	v ə r t aː l ʋ oː r d ə n b u k j ə s
vertellen	v ə r t ɛ l ə n
vertelling	v ə r t ɛ l ɪ ŋ
vertier	v ə r t i r
vertoog	v ɛ r t oː x
vertrekt	v ə r t r ɛ k t
vertroebelen	v ə r t r u b ə l ə n
vertrouwen	v ə r t r ɑ u̯ ə n
vervaldatum	v ə r v ɑ l d aː t ʏ m
vervangen	v ə r v ɑ ŋ ə n
vervelend	v ə r v eː l ə n t
verven	v ɛ r v ə n
vervlieten	v ə r v l i t ə n
vervoer	v ə r v u r
vervroegd	v ɛ r v r u x t
vervuiling	v ə r v œ y̯ l ɪ ŋ
verwelkomen	v ə r ʋ ɛ l k oː m ə n
verwennen	v ə r ʋ ɛ n ə n
verwerken	v ə r ʋ ɛ r k ə n
verzamelaar	v ə r z aː m ə l aː r
verzendkosten	v ə r z ɛ n t k ɔ s t ə n
verzorgingsstaat	v ə r z ɔ r ɣ ɪ ŋ s s t aː t
verzuipen	v ə r z œ y̯ p ə n
vest	v ɛ s t
vesten	v ɛ s t ə n
vestigen	v ɛ s t ə ɣ ə n
vestiging	v ɛ s t ə ɣ ɪ ŋ
vesting	v ɛ s t ɪ ŋ
vestingstad	v ɛ s t ɪ ŋ s t ɑ t
vet	v ɛ t
vete	v eː t ə
vette	v ɛ t ə
vetzuur	v ɛ t z y r
veulen	v øː l ə n
vianen	v i aː n ə n
vicepresident	v i s ə p r eː s i d ɛ n t
video	v i d i oː
videotheek	v i d i oː t eː k
vierdaags	v iː r d aː x s
vierendertig	v iː r ɛ n d ɛ r t ə x
vierentwintig	v iː r ɛ n t ʋ ɪ n t ə x
vierhonderd	v iː r ɦ ɔ n d ə r t
viering	v i r ɪ ŋ
vierkant	v iː r k ɑ n t
vietnam	v j ɛ t n ɑ m
vijand	v ɛ i̯ ɑ n t
vijf	v ɛ i̯ f
vijfde	v ɛ i̯ f d ə
vijfendertig	v ɛ i̯ f ɛ n d ɛ r t ə x
vijfentwintig	v ɛ i̯ f ɛ n t ʋ ɪ n t ə x
vijfenveertig	v ɛ i̯ f ə n v eː r t ə x
vijftien	v ɛ i̯ f t i n
vijftiende	v ɛ i̯ f t i n d ə
vijs	v ɛ i̯ s
vijver	v ɛ i̯ v ə r
vijzel	v ɛ i̯ z ə l
viking	v i k ɪ ŋ
vinden	v ɪ n d ə n
vinder	f ɪ n d ə r
vinger	v ɪ ŋ ə r
vingeren	v ɪ ŋ ə r ə n
vingers	v ɪ ŋ ə r s
vinoloog	v i n oː l oː x
violen	v i j oː l ə n
viool	v i j oː l
virtuoos	v ɪ r t y oː s
virus	v iː r ʏ s
virusremmer	v iː r ʏ s r ɛ m ə r
vis	v ɪ s
visa	v i z aː
visie	v i z i
vissen	v ɪ s ə n
visser	v ɪ s ə r
vissers	v ɪ s ə r s
visum	v i z ʏ m
vitaal	v i t aː l
vitamine	v i t aː m i n ə
vitrine	v i t r i n ə
vlaai	v l aː i̯
vlaams	v l aː m s
vlaanderen	v l aː n d ə r ə n
vlaardingen	v l aː r d ɪ ŋ ə n
vlakte	v l ɑ k t ə
vlam	v l ɑ m
vlaming	v l aː m ɪ ŋ
vledder	v l ɛ d ə r
vleermuis	v l eː r m œ y̯ s
vlees	v l eː s
vlekken	v l ɛ k ə n
vleugel	v l øː ɣ ə l
vleugeltip	v l øː ɣ ə l t ɪ p
vlieg	v l i x
vliegbasis	v l i x b aː z ɪ s
vliegen	v l i ɣ ə n
vliegende	v l i ɣ ə n d ə
vliegt	v l i x t
vliegtuig	v l i x t œ y̯ x
vliegveld	v l iː x f ɛ l t
vlieland	v l i l ɑ n t
vliering	v l iː r ɪ ŋ
vliet	v l i t
vlinder	v l ɪ n d ə r
vloed	v l u t
vloedgolf	v l u t x ɔ l f
vloeien	v l u i̯ ə n
vloer	v l u r
vloerbedekking	v l uː r b ə d ɛ k ɪ ŋ
vlonder	v l ɔ n d ə r
vloot	v l oː t
vlot	v l ɔ t
vlucht	v l ʏ x t
vluchteling	v l ʏ x t ə l ɪ ŋ
vocabulaire	v oː k aː b y l ɛː r
vocht	v ɔ x t
vochten	v ɔ x t ə n
vochtig	v ɔ x t ə x
vochtigheid	v ɔ x t ə x ɦ ɛ i̯ t
voeding	v u d ɪ ŋ
voedsel	v u t s ə l
voeg	v u x
voegen	v u ɣ ə n
voelen	v u l ə n
voer	v uː r
voeren	v uː r ə n
voet	v u t
voetafdruk	v u t ɑ f d r ʏ k
voetbal	v u t b ɑ l
voetbalclub	v u t b ɑ l k l ʏ p
voetballen	v u t b ɑ l ə n
voetballer	v u t b ɑ l ə r
voetbalveld	v u t b ɑ l v ɛ l t
voeten	v u t ə n
voetganger	v u t x ɑ ŋ ə r
voetnoot	v u t n oː t
vogel	v oː ɣ ə l
vogelaar	v oː ɣ ə l aː r
vogeltrek	v oː ɣ ə l t r ɛ k
vogelvlucht	v oː ɣ ə l v l ʏ x t
vogelvrij	v oː ɣ ə l v r ɛ i̯
vol	v ɔ l
volg	v ɔ l x
volgen	v ɔ l ɣ ə n
volgende	v ɔ l ɣ ə n d ə
volharding	v ɔ l ɦ ɑ r d ɪ ŋ
volkerenmoord	v ɔ l k ə r ə n m oː r t
volkslied	v ɔ l k s l i t
volkstelling	v ɔ l k s t ɛ l ɪ ŋ
volksuniversiteit	v ɔ l k s y n i v ɛ r z i t ɛ i̯ t
volksvertegenwoordiger	v ɔ l k s f ə r t eː ɣ ə n ʋ oː r d ə ɣ ə r
voller	v ɔ l ə r
voltallig	v ɔ l t ɑ l ə x
voltrekken	v ɔ l t r ɛ k ə n
vond	v ɔ n t
vondst	v ɔ n t s t
vonk	v ɔ ŋ k
vonkelwijn	v ɔ ŋ k ə l ʋ ɛ i̯ n
voor	v oː r
vooral	v oː r ɑ l
voorarrest	v oː r ɑ r ɛ s t
vooravond	v oː r aː v ɔ n t
voorbaat	v oː r b aː t
voorbeeld	v oː r b eː l t
voorbehouden	v oː r b ə ɦ ɑ u̯ d ə n
voorbij	v oː r b ɛ i̯
voorbijgaan	v oː r b ɛ i̯ ɣ aː n
voorbode	v oː r b oː d ə
voorburg	v oː r b ʏ r x
voordeur	v oː r d øː r
voordoen	v oː r d u n
voordragen	v oː r d r aː ɣ ə n
voorhoofd	v oː r ɦ oː f t
voorkomen	v oː r k oː m ə n
voorkomende	v oː r k oː m ə n d ə
voorlader	v oː r l aː d ə r
voorlezen	v oː r l eː z ə n
voorlichten	v oː r l ɪ x t ə n
voorlichter	v oː r l ɪ x t ə r
voorlichting	v oː r l ɪ x t ɪ ŋ
voorliefde	v oː r l i f d ə
voormiddag	v oː r m ɪ d ɑ x
voornaam	v oː r n aː m
voornemen	v oː r n eː m ə n
voorouder	v oː r ɑ u̯ d ə r
voorraad	v oː r aː t
voorrang	v oː r ɑ ŋ
voorschrift	v oː r s x r ɪ f t
voorschrijven	v oː r s x r ɛ i̯ v ə n
voorspoed	v oː r s p u t
voorspoedig	v oː r s p u d ə x
voorsprong	v oː r s p r ɔ ŋ
voorstaan	v oː r s t aː n
voorstad	v oː r s t ɑ t
voorste	v ɔː r s t ə
voorstel	v oː r s t ɛ l
voorstellen	v oː r s t ɛ l ə n
voorstelling	v oː r s t ɛ l ɪ ŋ
voort	v oː r t
voortaan	v oː r t aː n
voortplanting	v oː r t p l ɑ n t ɪ ŋ
voortslepen	v oː r t s l eː p ə n
voortvluchtig	v oː r t f l ʏ x t ə x
voortvluchtige	v oː r t f l ʏ x t ə ɣ ə
vooruit	v oː r œ y̯ t
vooruitgang	v oː r œ y̯ t x ɑ ŋ
vooruitzicht	v oː r œ y̯ t s ɪ x t
voorvader	v oː r v aː d ə r
voorvaderlijk	v oː r v aː d ə r l ə k
voorval	v oː r v ɑ l
voorvork	v oː r v ɔ r k
voorwaar	v oː r ʋ aː r
voorwaardelijk	v oː r ʋ aː r d ə l ə k
voorwerp	v oː r ʋ ɛ r p
voorwoord	v oː r ʋ oː r t
voorzeggen	v oː r z ɛ ɣ ə n
voorzetten	v oː r z ɛ t ə n
voorzitster	v oː r z ɪ t s t ə r
voren	v oː r ə n
vorm	v ɔ r m
vormen	v ɔ r m ə n
vormsel	v ɔ r m s ə l
vorst	v ɔ r s t
vorstelijk	v ɔ r s t ə l ə k
vorstendom	v ɔ r s t ə n d ɔ m
vorstenhuis	v ɔ r s t ə n ɦ œ y̯ s
vorstin	v ɔ r s t ɪ n
vos	v ɔ s
vossen	v ɔ s ə n
vouwen	v ɑ u̯ ə n
vouwfiets	v ɑ u̯ f i t s
vraag	v r aː x
vraagprijs	v r aː x p r ɛ i̯ s
vraagstuk	v r aː x s t ʏ k
vraagt	v r aː x t
vraagteken	v r aː x t eː k ə n
vrachtwagen	v r ɑ x t ʋ aː ɣ ə n
vragen	v r aː ɣ ə n
vrede	v r eː d ə
vredesmacht	v r eː d ə s m ɑ x t
vredesmissie	v r eː d ə s m ɪ s i
vredig	v r eː d ə x
vreemd	v r eː m t
vrees	v r eː s
vreten	v r eː t ə n
vreugdedans	v r øː x d ə d ɑ n s
vrezen	v r eː z ə n
vriendelijk	v r i n d ə l ə k
vrienden	v r i n d ə n
vriendschap	v r i n t s x ɑ p
vrij	v r ɛ i
vrijbuiter	v r ɛ i̯ b œ y̯ t ə r
vrijen	v r ɛ i̯ ə n
vrijgevigheid	v r ɛ i̯ ɣ eː v ə x ɦ ɛ i̯ t
vrijgezellenfeest	v r ɛ i̯ ɣ ə z ɛ l ə n f eː s t
vrijheid	v r ɛ i ɦ ɛ i̯ t
vrijmarkt	v r ɛ i̯ m ɑ r k t
vrijplaats	v r ɛ i̯ p l aː t s
vrijspraak	v r ɛ i̯ s p r aː k
vrijwel	v r ɛ i̯ ʋ ɛ l
vrijwilliger	v r ɛ i̯ ʋ ɪ l ə ɣ ə r
vrijwilligerswerk	v r ɛ i̯ ʋ ɪ l ə ɣ ə r s ʋ ɛ r k
vroeg	v r u x
vroeger	v r u ɣ ə r
vroeggeboorte	v r u x ə b oː r t ə
vrouw	v r ɑ u̯
vrouwelijk	v r ɑ u̯ ə l ə k
vrouwen	v r ɑ u̯ ə n
vruchtwater	v r ʏ x t ʋ aː t ə r
vsa	v eː ɛ s aː
vught	v ʏ x t
vuil	v œ y̯ l
vuilnis	v œ y̯ l n ɪ s
vulgaat	v ʏ l ɣ aː t
vulkaan	v ʏ l k aː n
vulpen	v ʏ l p ɛ n
vuren	v y r ə n
vuur	v y r
vuurdoop	v yː r d oː p
vuurkracht	v yː r k r ɑ x t
vuurpijl	v yː r p ɛ i̯ l
vuurproef	v yː r p r u f
vuurtoren	v yː r t oː r ə n
vuurvlinder	v yː r v l ɪ n d ə r
vuurwapen	v yː r ʋ aː p ə n
vuurwerk	v yː r ʋ ɛ r k
vwo	v eː ʋ eː oː
waag	ʋ aː x
waal	ʋ aː l
waals	ʋ aː l s
waar	ʋ aː r
waaraan	ʋ aː r aː n
waard	ʋ aː r t
waarderen	ʋ aː r d eː r ə n
waardering	ʋ aː r d eː r ɪ ŋ
waardigheid	ʋ aː r d ə x ɦ ɛ i̯ t
waarheen	ʋ aː r ɦ eː n
waarheid	ʋ aː r ɦ ɛ i̯ t
waarin	ʋ aː r ɪ n
waarnemen	ʋ aː r n eː m ə n
waarom	ʋ aː r ɔ m
waarschijnlijk	ʋ aː r s x ɛ i̯ n l ə k
waarschijnlijkheid	ʋ aː r s x ɛ i̯ n l ə k ɦ ɛ i̯ t
waarschuwen	ʋ aː r s x y u̯ ə n
waarschuwing	ʋ aː r s x y u̯ ɪ ŋ
waarschuwingsschot	ʋ aː r s x y u̯ ɪ ŋ s x ɔ t
wacht	ʋ ɑ x t
wachter	ʋ ɑ x t ə r
wachtlijst	ʋ ɑ x t l ɛ i̯ s t
wachttijd	ʋ ɑ x t ɛ i̯ t
wachttoren	ʋ ɑ x t oː r ə n
wad	ʋ ɑ t
waddenzee	ʋ ɑ d ə n z eː
wade	ʋ aː d ə
wagenpark	ʋ aː ɣ ə n p ɑ r k
wagon	ʋ aː ɣ ɔ n
waken	ʋ aː k ə n
wakker	ʋ ɑ k ə r
wal	ʋ ɑ l
walcheren	ʋ ɑ l x ə r ə n
walgelijk	ʋ ɑ l ɣ ə l ə k
wallonië	ʋ ɑ l oː n i j ə
walvis	ʋ ɑ l v ɪ s
wam	ʋ ɑ m
wandelstok	ʋ ɑ n d ə l s t ɔ k
wandeltocht	ʋ ɑ n d ə l t ɔ x t
wang	ʋ ɑ ŋ
wanhoop	ʋ ɑ n ɦ oː p
wanhopig	ʋ ɑ n ɦ oː p ə x
wanneer	ʋ ɑ n eː r
want	ʋ ɑ n t
wao	ʋ eː j aː oː
wapen	ʋ aː p ə n
wapenstok	ʋ aː p ə n s t ɔ k
war	ʋ ɑ r
ware	ʋ aː r ə
waren	ʋ aː r ə n
warenhuis	ʋ aː r ə n ɦ œ y̯ s
warm	ʋ ɑ r ə m
warmte	ʋ ɑ r m t ə
warmtepomp	ʋ ɑ r m t ə p ɔ m p
warrig	ʋ ɑ r ə x
warschau	ʋ ɑ r ʃ ɑ u̯
was	ʋ ɑ s
wasbak	ʋ ɑ s b ɑ k
wasgoed	ʋ ɑ s x u t
wassen	ʋ ɑ s ə n
wassenaar	ʋ ɑ s ə n aː r
wasstraat	ʋ ɑ s t r aː t
wast	ʋ ɑ s t
wastafel	ʋ ɑ s t aː f ə l
waste	ʋ ɑ s t ə
wat	ʋ ɑ t
water	ʋ aː t ə r
waterbed	ʋ aː t ə r b ɛ t
watergang	ʋ aː t ə r ɣ ɑ ŋ
waterkering	ʋ aː t ə r k eː r ɪ ŋ
waterland	ʋ aː t ə r l ɑ n t
watermerk	ʋ aː t ə r m ɛ r k
waterpas	ʋ aː t ə r p ɑ s
waterpijp	ʋ aː t ə r p ɛ i̯ p
waterpolo	ʋ aː t ə r p oː l oː
waterschap	ʋ aː t ə r s x ɑ p
waterstaat	ʋ aː t ə r s t aː t
waterstof	ʋ aː t ə r s t ɔ f
wc	ʋ eː s eː
we	ʋ ə
web	ʋ ɛ p
weblog	ʋ ɛ p l ɔ x
website	ʋ ɛ p s ɑ i̯ t
webstek	ʋ ɛ p s t ɛ k
wederdoper	ʋ eː d ə r d oː p ə r
wederstrevig	ʋ eː d ə r s t r eː v ə x
weduwe	ʋ eː d y ʋ ə
weefgetouw	ʋ eː f x ə t ɑ u̯
weeg	ʋ eː x
weegschaal	ʋ eː x s x aː l
week	ʋ eː k
weekblad	ʋ eː k b l ɑ t
weekeinde	ʋ eː k ɛ i̯ n d ə
weekend	ʋ i k ɛ n t
weer	ʋ eː r
weergegeven	ʋ eː r ɣ ə ɣ eː v ə n
weergeven	ʋ eː r ɣ eː v ə n
weerhaan	ʋ eː r ɦ aː n
weerhouden	ʋ eː r ɦ ɑ u̯ d ə n
weerstand	ʋ eː r s t ɑ n t
weerzin	ʋ eː r z ɪ n
wees	ʋ eː s
weeshuis	ʋ eː s ɦ œ y̯ s
weet	ʋ eː t
wegdek	ʋ ɛ x d ɛ k
wegen	ʋ eː ɣ ə n
wegennet	ʋ eː ɣ ə n ɛ t
wegens	ʋ eː ɣ ə n s
weggaan	ʋ ɛ x aː n
weggooien	ʋ ɛ x ɣ oː i̯ ə n
weglopen	ʋ ɛ x l oː p ə n
wegschrijven	ʋ ɛ x s x r ɛ i̯ v ə n
wegslepen	ʋ ɛ x s l eː p ə n
wegwijzer	ʋ ɛ x ʋ ɛ i̯ z ə r
wei	ʋ ɛ i̯
weide	ʋ ɛ i̯ d ə
weigeren	ʋ ɛ i̯ ɣ ə r ə n
weiland	ʋ ɛ i̯ l ɑ n t
weinig	ʋ ɛ i̯ n ə x
wekelijks	ʋ eː k ə l ə k s
weken	ʋ eː k ə n
wekker	ʋ ɛ k ə r
wel	ʋ ɛ l
welbevinden	ʋ ɛ l b ə v ɪ n d ə n
weleer	ʋ ɛ l eː r
weliswaar	ʋ ɛ l ɪ s ʋ aː r
welk	ʋ ɛ l k
welke	ʋ ɛ l k ə
welkom	v ɛ l k ɔ m
welvaartsstaat	ʋ ɛ l v aː r t s t aː t
welzijn	ʋ ɛ l z ɛ i̯ n
wen	ʋ ɛ n
wenden	ʋ ɛ n d ə n
wenen	ʋ eː n ə n
wennen	ʋ ɛ n ə n
wentelen	ʋ ɛ n t ə l ə n
werd	ʋ ɛ r t
werden	ʋ ɛ r d ə n
wereldbeeld	ʋ eː r ə l t b eː l t
wereldbevolking	ʋ eː r ə l t b ə v ɔ l k ɪ ŋ
wereldhandel	ʋ eː r ə l t ɦ ɑ n d ə l
wereldkampioen	ʋ eː r ə l t k ɑ m p i u n
wereldkampioenschap	ʋ eː r ə l t k ɑ m p i u n s x ɑ p
wereldschokkend	ʋ eː r ə l t s x ɔ k ə n t
wereldverbeteraar	ʋ eː r ə l t v ə r b eː t ə r aː r
weren	ʋ eː r ə n
werk	ʋ ɛ r k
werkbaar	ʋ ɛ r k b aː r
werkelijk	ʋ ɛ r k ə l ə k
werkelijkheid	ʋ ɛ r k ə l ə k ɦ ɛ i̯ t
werkeloos	ʋ ɛ r k ə l oː s
werken	ʋ ɛ r k ə n
werker	ʋ ɛ r k ə r
werkgebied	ʋ ɛ r k x ə b i t
werkgever	ʋ ɛ r k x eː v ə r
werkloosheid	ʋ ɛ r k l oː s ɦ ɛ i̯ t
werkloze	ʋ ɛ r k l oː z ə
werknemer	ʋ ɛ r k n eː m ə r
werkplaats	ʋ ɛ r k p l aː t s
werkplek	ʋ ɛ r k p l ɛ k
werkster	ʋ ɛ r k s t ə r
werkt	ʋ ɛ r k t
werkte	ʋ ɛ r k t ə
werkwoord	ʋ ɛ r ə k ʋ oː r t
werpen	ʋ ɛ r p ə n
wervel	ʋ ɛ r v ə l
wervelkolom	ʋ ɛ r v ə l k oː l ɔ m
werven	ʋ ɛ r v ə n
wesp	ʋ ɛ s p
wespenspin	ʋ ɛ s p ə n s p ɪ n
west	ʋ ɛ s t
westland	ʋ ɛ s t l ɑ n t
wet	ʋ ɛ t
wetboek	ʋ ɛ t b u k
weten	ʋ eː t ə n
wetenschappelijk	ʋ eː t ə n s x ɑ p ə l ə k
wetgever	ʋ ɛ t x eː v ə r
wetsvoorstel	ʋ ɛ t s f oː r s t ɛ l
wetten	ʋ ɛ t ə n
weven	ʋ eː v ə n
wezenlijk	ʋ eː z ə n l ə k
wezens	ʋ eː z ə n s
wezep	ʋ eː z ə p
whisky	ʋ ɪ s k i
wie	ʋ i
wielrennen	ʋ i l r ɛ n ə n
wielrenner	ʋ i l r ɛ n ə r
wieringen	ʋ iː r ɪ ŋ ə n
wierp	ʋ i r p
wifi	ʋ i f i
wig	ʋ ɪ x
wijden	ʋ ɛ i̯ d ə n
wijf	ʋ ɛ i̯ f
wijk	ʋ ɛ i̯ k
wijkagent	ʋ ɛ i̯ k aː ɣ ɛ n t
wijken	ʋ ɛ i̯ k ə n
wijl	ʋ ɛ i̯ l
wijle	ʋ ɛ i̯ l ə
wijn	ʋ ɛ i̯ n
wijnboer	ʋ ɛ i m b uː r
wijngaard	ʋ ɛ i̯ n ɣ aː r t
wijnrood	ʋ ɛ i̯ n r oː t
wijs	ʋ ɛ i̯ s
wijzen	ʋ ɛ i̯ z ə n
wijzer	ʋ ɛ i̯ z ə r
wijziging	ʋ ɛ i̯ z ə ɣ ɪ ŋ
wil	ʋ ɪ l
wilco	ʋ ɪ l k oː
wild	ʋ ɪ l t
wildebras	ʋ ɪ l d ə b r ɑ s
wildernis	ʋ ɪ l d ə r n ɪ s
wildgroei	ʋ ɪ l t x r u i̯
wilg	ʋ ɪ l x
wilhelmina	ʋ ɪ l ɦ ɛ l m i n aː
willems	ʋ ɪ l ə m s
willen	ʋ ɪ l ə n
wilskracht	ʋ ɪ l s k r ɑ x t
wilt	ʋ ɪ l t
win	ʋ ɪ n
wind	ʋ ɪ n t
winderig	ʋ ɪ n d ə r ə x
windkracht	ʋ ɪ n t k r ɑ x t
windmolen	ʋ ɪ n t m oː l ə n
windmolenpark	ʋ ɪ n t m oː l ə n p ɑ r k
windrichting	ʋ ɪ n t r ɪ x t ɪ ŋ
windschade	ʋ ɪ n t s x aː d ə
winkel	ʋ ɪ ŋ k ə l
winkelen	ʋ ɪ ŋ k ə l ə n
winnen	ʋ ɪ n ə n
winning	ʋ ɪ n ɪ ŋ
winschoten	ʋ ɪ n s x oː t ə n
winst	ʋ ɪ n s t
winstgevend	ʋ ɪ n s t x eː v ə n t
wint	ʋ ɪ n t
winter	ʋ ɪ n t ə r
winters	ʋ ɪ n t ə r s
winterslaap	ʋ ɪ n t ə r s l aː p
wintersport	ʋ ɪ n t ə r s p ɔ r t
wintersporter	ʋ ɪ n t ə r s p ɔ r t ə r
wis	ʋ ɪ s
wiskunde	ʋ ɪ s k ʏ n d ə
wiskundig	ʋ ɪ s k ʏ n d ə x
wissel	ʋ ɪ s ə l
wisselen	ʋ ɪ s ə l ə n
wisselgeld	ʋ ɪ s ə l ɣ ɛ l t
wisselwerking	ʋ ɪ s ə l ʋ ɛ r k ɪ ŋ
wisten	ʋ ɪ s t ə n
wit	ʋ ɪ t
witlof	ʋ ɪ t l ɔ f
witte	ʋ ɪ t ə
witwassen	ʋ ɪ t ʋ ɑ s ə n
wodan	ʋ oː d ɑ n
woekeren	ʋ u k ə r ə n
woelmuis	ʋ u l m œ y̯ s
woensdag	ʋ u n z d ɑ x
woerden	ʋ uː r d ə n
woest	ʋ u s t
wok	ʋ ɔ k
wol	ʋ ɔ l
wolf	ʋ ɔ l f
wollen	ʋ ɔ l ə n
wolters	ʋ ɔ l t ə r s
wolven	ʋ ɔ l v ə n
wond	ʋ ɔ n t
wonde	ʋ ɔ n d ə
wonder	ʋ ɔ n d ə r
wonderkind	ʋ ɔ n d ə r k ɪ n t
wonderlijk	ʋ ɔ n d ə r l ə k
wonderwel	ʋ ɔ n d ə r ʋ ɛ l
wonen	ʋ oː n ə n
woning	ʋ oː n ɪ ŋ
woningbouw	ʋ oː n ɪ ŋ b ɑ u̯
woon	ʋ oː n
woonde	ʋ oː n d ə
woonhuis	ʋ oː n ɦ œ y̯ s
woonkamer	ʋ oː n k aː m ə r
woonplaats	ʋ oː n p l aː t s
woonruimte	ʋ oː n r œ y̯ m t ə
woont	ʋ oː n t
woorden	ʋ ɔː r d ə n
woordenboek	ʋ oː r d ə n b u k
woordenschat	ʋ oː r d ə n s x ɑ t
woordenwisseling	ʋ oː r d ə n ʋ ɪ s ə l ɪ ŋ
woordje	ʋ oː r t ʃ ə
woordvoerder	ʋ oː r t f uː r d ə r
word	ʋ ɔ r t
worden	ʋ ɔ r d ə n
wordt	ʋ ɔ r t
workum	ʋ ɔ r k ʏ m
worm	ʋ ɔ r m
worp	ʋ ɔ r p
worstelen	ʋ ɔ r s t ə l ə n
woud	ʋ ɑ u̯ t
woudaap	ʋ ɑ u̯ t aː p
woudreus	ʋ ɑ u̯ t r øː s
wout	ʋ ɑ u̯ t
wraak	v r aː k
wrak	v r ɑ k
wrevel	v r eː v ə l
wrijving	v r ɛ i̯ v ɪ ŋ
wurgen	ʋ ʏ r ɣ ə n
ww	ʋ eː ʋ eː
xenofobie	k s eː n oː f oː b i
xenotransplantatie	k s eː n oː t r ɑ n s p l ɑ n t aː t s i
yam	j ɑ m
yen	j ɛ n
yes	j ɛ s
yeti	j eː t i
yoga	j oː ɣ aː
yoghurt	j ɔ x ʏ r t
zaaien	z aː i̯ ə n
zaailand	z aː i̯ l ɑ n t
zaak	z aː k
zaakwaarnemer	z aː k ʋ aː r n eː m ə r
zaan	z aː n
zaanstreek	z aː n s t r eː k
zacht	z ɑ x t
zachtheid	z ɑ x t ɦ ɛ i̯ t
zachtzinnig	z ɑ x t s ɪ n ə x
zadelen	z aː d ə l ə n
zag	z ɑ x
zagen	z aː ɣ ə n
zak	z ɑ k
zakdoek	z ɑ k d u k
zake	z aː k ə
zakelijk	z aː k ə l ə k
zakenbank	z aː k ə n b ɑ ŋ k
zakenman	z aː k ə n m ɑ n
zakenvrouw	z aː k ə n v r ɑ u̯
zakenwereld	z aː k ə n ʋ eː r ə l t
zakgeld	z ɑ k x ɛ l t
zakje	z ɑ k j ə
zakkenvuller	z ɑ k ə n v ʏ l ə r
zaklantaarn	z ɑ k l ɑ n t aː r n
zal	z ɑ l
zalig	z aː l ə x
zaligen	z aː l ə ɣ ə n
zalm	z ɑ l m
zaltbommel	z ɑ l t b ɔ m ə l
zambia	z ɑ m b i aː
zand	z ɑ n t
zandbak	z ɑ n t b ɑ k
zandgrond	z ɑ n t x r ɔ n t
zandloper	z ɑ n t l oː p ə r
zandsteen	z ɑ n t s t eː n
zandvoort	z ɑ n t f oː r t
zandzak	z ɑ n t s ɑ k
zang	z ɑ ŋ
zanger	z ɑ ŋ ə r
zangvogel	z ɑ ŋ v oː ɣ ə l
zat	z ɑ t
zaterdag	z aː t ə r d ɑ x
zaterdagmorgen	z aː t ə r d ɑ x m ɔ r ɣ ə n
