ᆯ지	ʎ t͡ɕ͈ i
처가	t͡ɕʰ ʌ̹ ɡ a̠
처남	t͡ɕʰ ʌ̹ n a̠ m
처녀	t͡ɕʰ ɘː ɲ j ʌ̹
처녀막	t͡ɕʰ ɘː ɲ j ʌ̹ m a̠ k̚
처럼	t͡ɕʰ ʌ̹ ɾ ʌ̹ m
처리	t͡ɕʰ ɘː ɾ i
처방	t͡ɕʰ ʌ̹ b a̠ ŋ
처방전	t͡ɕʰ ɘː b a̠ ŋ d͡ʑ ʌ̹ n
처벌	t͡ɕʰ ɘː b ʌ̹ ɭ
처신	t͡ɕʰ ɘː ɕʰ i n
처음	t͡ɕʰ ʌ̹ ɯ m
처지	t͡ɕʰ ɘː d͡ʑ i
척결	t͡ɕʰ ʌ̹ k̚ k͈ j ʌ̹ ɭ
척수	t͡ɕʰ ʌ̹ k s͈ u
척추	t͡ɕʰ ʌ̹ k̚ t͡ɕʰ u
척추동물	t͡ɕʰ ʌ̹ k̚ t͡ɕʰ u d o̞ ŋ m u ɭ
천국	t͡ɕʰ ʌ̹ n ɡ u k̚
천당	t͡ɕʰ ʌ̹ n d a̠ ŋ
천도	t͡ɕʰ ɘː n d o̞
천둥	t͡ɕʰ ʌ̹ n d u ŋ
천리마	t͡ɕʰ ʌ̹ ʎ ʎ i m a̠
천리안	t͡ɕʰ ʌ̹ ʎ ʎ i a̠ n
천만	t͡ɕʰ ʌ̹ n m a̠ n
천만에요	t͡ɕʰ ʌ̹ n m a̠ n e̞ j o
천부적	t͡ɕʰ ʌ̹ n b u d͡ʑ ʌ̹ k̚
천사	t͡ɕʰ ʌ̹ n sʰ a̠
천성	t͡ɕʰ ʌ̹ n sʰ ʌ̹ ŋ
천안문	t͡ɕʰ ʌ̹ n a̠ n m u n
천왕성	t͡ɕʰ ʌ̹ n w a̠ ŋ sʰ ʌ̹ ŋ
천자문	t͡ɕʰ ʌ̹ ɲ d͡ʑ a̠ m u n
천장	t͡ɕʰ ʌ̹ ɲ d͡ʑ a̠ ŋ
천제	t͡ɕʰ ʌ̹ ɲ d͡ʑ e̞
천조국	t͡ɕʰ ʌ̹ ɲ d͡ʑ o̞ ɡ u k̚
천주교	t͡ɕʰ ʌ̹ ɲ d͡ʑ u ɡ j o
천지	t͡ɕʰ ʌ̹ ɲ d͡ʑ i
천지인	t͡ɕʰ ʌ̹ ɲ d͡ʑ i i n
천천히	t͡ɕʰ ɘː ɲ t͡ɕʰ ʌ̹ n ʝ i
천체	t͡ɕʰ ʌ̹ ɲ t͡ɕʰ e̞
천하	t͡ɕʰ ʌ̹ n ɦ a̠
천황	t͡ɕʰ ʌ̹ n β w a̠ ŋ
철갑	t͡ɕʰ ʌ̹ ɭ ɡ a̠ p̚
철도	t͡ɕʰ ʌ̹ ɭ t͈ o̞
철밥통	t͡ɕʰ ʌ̹ ɭ b a̠ p̚ tʰ o̞ ŋ
철부지	t͡ɕʰ ʌ̹ ɭ b u d͡ʑ i
철자법	t͡ɕʰ ʌ̹ ʎ t͡ɕ͈ a̠ p͈ ʌ̹ p̚
철저하다	t͡ɕʰ ʌ̹ ʎ t͡ɕ͈ ʌ̹ ɦ a̠ d a̠
철저히	t͡ɕʰ ʌ̹ ʎ t͡ɕ͈ ʌ̹ ʝ i
철쭉	t͡ɕʰ ʌ̹ ʎ t͡ɕ͈ u k̚
철퇴	t͡ɕʰ ʌ̹ ɭ tʰ w e̞
철판	t͡ɕʰ ʌ̹ ɭ pʰ a̠ n
철폐	t͡ɕʰ ʌ̹ ɭ pʰ j e̞
철학	t͡ɕʰ ʌ̹ ɾ ɦ a̠ k̚
첫날	t͡ɕʰ ʌ̹ n n a̠ ɭ
첫눈	t͡ɕʰ ʌ̹ n n u n
첫차	t͡ɕʰ ʌ̹ t̚ t͡ɕʰ a̠
청각	t͡ɕʰ ʌ̹ ŋ ɡ a̠ k̚
청결	t͡ɕʰ ʌ̹ ŋ ɡ j ʌ̹ ɭ
청국장	t͡ɕʰ ʌ̹ ŋ ɡ u k̚ t͡ɕ͈ a̠ ŋ
청남방	t͡ɕʰ ʌ̹ ŋ n a̠ m b a̠ ŋ
청년	t͡ɕʰ ʌ̹ ŋ ɲ j ʌ̹ n
청동	t͡ɕʰ ʌ̹ ŋ d o̞ ŋ
청둥오리	t͡ɕʰ ʌ̹ ŋ d u ŋ o̞ ɾ i
청량음료	t͡ɕʰ ʌ̹ ŋ ɲ j a̠ ŋ ɯ m ɲ j o
청바지	t͡ɕʰ ʌ̹ ŋ b a̠ d͡ʑ i
청소	t͡ɕʰ ʌ̹ ŋ sʰ o̞
청소년	t͡ɕʰ ʌ̹ ŋ sʰ o̞ ɲ j ʌ̹ n
청순	t͡ɕʰ ʌ̹ ŋ sʰ u n
청진	t͡ɕʰ ʌ̹ ŋ d͡ʑ i n
청천벽력	t͡ɕʰ ʌ̹ ŋ t͡ɕʰ ʌ̹ n b j ʌ̹ ŋ ɲ j ʌ̹ k̚
청첩장	t͡ɕʰ ɘː ŋ t͡ɕʰ ʌ̹ p̚ t͡ɕ͈ a̠ ŋ
청초하다	t͡ɕʰ ʌ̹ ŋ t͡ɕʰ o̞ ɦ a̠ d a̠
청춘	t͡ɕʰ ʌ̹ ŋ t͡ɕʰ u n
청탁	t͡ɕʰ ʌ̹ ŋ tʰ a̠ k̚
체결	t͡ɕʰ e̞ ɡ j ʌ̹ ɭ
체구	t͡ɕʰ e̞ ɡ u
체념	t͡ɕʰ e̞ ɲ j ʌ̹ m
체력	t͡ɕʰ e̞ ɾ j ʌ̹ k̚
체르노빌	t͡ɕʰ e̞ ɾ ɯ n o̞ b i ɭ
체리	t͡ɕʰ e̞ ɾ i
체면	t͡ɕʰ e̞ m j ʌ̹ n
체스	t͡ɕʰ e̞ sʰ ɯ
체스꼬슬로벤스꼬	t͡ɕʰ e̞ sʰ ɯ k͈ o̞ sʰ ɯ ɭ ɭ o̞ b e̞ n sʰ ɯ k͈ o̞
체온계	t͡ɕʰ e̞ o̞ n ɡ j e̞
체육	t͡ɕʰ e̞ j u k̚
체육관	t͡ɕʰ e̞ j u k̚ k͈ w a̠ n
체인	t͡ɕʰ e̞ i n
체제	t͡ɕʰ e̞ d͡ʑ e̞
체중	t͡ɕʰ e̞ d͡ʑ u ŋ
체질	t͡ɕʰ e̞ d͡ʑ i ɭ
체커	t͡ɕʰ e̞ kʰ ʌ̹
체코	t͡ɕʰ e̞ kʰ o̞
체포	t͡ɕʰ e̞ pʰ o̞
체험	t͡ɕʰ e̞ ɦ ʌ̹ m
쳐죽이다	t͡ɕʰ ʌ̹ d͡ʑ u ɡ i d a̠
초고속	t͡ɕʰ o̞ ɡ o̞ sʰ o̞ k̚
초고추장	t͡ɕʰ o̞ ɡ o̞ t͡ɕʰ u d͡ʑ a̠ ŋ
초능력	t͡ɕʰ o̞ n ɯ ŋ ɲ j ʌ̹ k̚
초등학교	t͡ɕʰ o̞ d ɯ ŋ ɦ a̠ k̚ k͈ j o
초딩	t͡ɕʰ o̞ d i ŋ
초로	t͡ɕʰ o̞ ɾ o̞
초록빛	t͡ɕʰ o̞ ɾ o̞ k̚ p͈ i t̚
초반	t͡ɕʰ o̞ b a̠ n
초밥	t͡ɕʰ o̞ b a̠ p̚
초순	t͡ɕʰ o̞ sʰ u n
초승달	t͡ɕʰ o̞ sʰ ɯ ŋ t͈ a̠ ɭ
초원	t͡ɕʰ o̞ w ʌ̹ n
초유	t͡ɕʰ o̞ j u
초음파	t͡ɕʰ o̞ ɯ m pʰ a̠
초인	t͡ɕʰ o̞ i n
초자연적	t͡ɕʰ o̞ d͡ʑ a̠ j ʌ̹ ɲ d͡ʑ ʌ̹ k̚
초점	t͡ɕʰ o̞ t͡ɕ͈ ʌ̹ m
초지	t͡ɕʰ o̞ d͡ʑ i
초콜렛	t͡ɕʰ o̞ kʰ o̞ ɭ ɭ e̞ t̚
초콜릿	t͡ɕʰ o̞ kʰ o̞ ʎ ʎ i t̚
초특급	t͡ɕʰ o̞ tʰ ɯ k̚ k͈ ɯ p̚
초판	t͡ɕʰ o̞ pʰ a̠ n
초하루	t͡ɕʰ o̞ ɦ a̠ ɾ u
초혼	t͡ɕʰ o̞ β o̞ n
촉각	t͡ɕʰ o̞ k̚ k͈ a̠ k̚
촉법소년	t͡ɕʰ o̞ k̚ p͈ ʌ̹ p s͈ o̞ ɲ j ʌ̹ n
촉수	t͡ɕʰ o̞ k s͈ u
촌극	t͡ɕʰ o̞ː n ɡ ɯ k̚
촌놈	t͡ɕʰ o̞ n n o̞ m
촌락	t͡ɕʰ o̞ː ɭ ɭ a̠ k̚
총각	t͡ɕʰ o̞ː ŋ ɡ a̠ k̚
총명	t͡ɕʰ o̞ ŋ m j ʌ̹ ŋ
총서	t͡ɕʰ o̞ ŋ sʰ ʌ̹
총영사관	t͡ɕʰ o̞ ŋ j ʌ̹ ŋ sʰ a̠ ɡ w a̠ n
총장	t͡ɕʰ o̞ː ŋ d͡ʑ a̠ ŋ
총체적	t͡ɕʰ o̞ ŋ t͡ɕʰ e̞ d͡ʑ ʌ̹ k̚
총총	t͡ɕʰ o̞ ŋ t͡ɕʰ o̞ ŋ
총통	t͡ɕʰ o̞ː ŋ tʰ o̞ ŋ
총화	t͡ɕʰ o̞ ŋ β w a̠
촬영	t͡ɕʰ w a̠ ɾ j ʌ̹ ŋ
최강	t͡ɕʰ w e̞ː ɡ a̠ ŋ
최근	t͡ɕʰ w e̞ː ɡ ɯ n
최상급	t͡ɕʰ w e̞ː sʰ a̠ ŋ ɡ ɯ p̚
최선	t͡ɕʰ w e̞ː sʰ ʌ̹ n
최소한	t͡ɕʰ w e̞ː sʰ o̞ ɦ a̠ n
최종	t͡ɕʰ w e̞ː d͡ʑ o̞ ŋ
최초	t͡ɕʰ w e̞ː t͡ɕʰ o̞
추가	t͡ɕʰ u ɡ a̠
추격	t͡ɕʰ u ɡ j ʌ̹ k̚
추구	t͡ɕʰ u ɡ u
추구하다	t͡ɕʰ u ɡ u ɦ a̠ d a̠
추락	t͡ɕʰ u ɾ a̠ k̚
추리닝	t͡ɕʰ u ɾ i n i ŋ
추밀원	t͡ɕʰ u m i ɾ w ʌ̹ n
추방	t͡ɕʰ u b a̠ ŋ
추석	t͡ɕʰ u sʰ ʌ̹ k̚
추수	t͡ɕʰ u sʰ u
추악하다	t͡ɕʰ u a̠ kʰ a̠ d a̠
추억	t͡ɕʰ u ʌ̹ k̚
추위	t͡ɕʰ u ɥ i
추적하다	t͡ɕʰ u d͡ʑ ʌ̹ kʰ a̠ d a̠
추진	t͡ɕʰ u d͡ʑ i n
추진하다	t͡ɕʰ u d͡ʑ i n ɦ a̠ d a̠
추천하다	t͡ɕʰ u t͡ɕʰ ʌ̹ n ɦ a̠ d a̠
추출	t͡ɕʰ u t͡ɕʰ u ɭ
추출물	t͡ɕʰ u t͡ɕʰ u ɭ m u ɭ
추측	t͡ɕʰ u t͡ɕʰ ɯ k̚
축복	t͡ɕʰ u k̚ p͈ o̞ k̚
축사	t͡ɕʰ u k s͈ a̠
축소	t͡ɕʰ u k s͈ o̞
축음기	t͡ɕʰ u ɡ ɯ m ɡ i
축제	t͡ɕʰ u k̚ t͡ɕ͈ e̞
축척	t͡ɕʰ u k̚ t͡ɕʰ ʌ̹ k̚
축하	t͡ɕʰ u kʰ a̠
춘하추동	t͡ɕʰ u n ɦ a̠ t͡ɕʰ u d o̞ ŋ
출구	t͡ɕʰ u ɭ ɡ u
출근	t͡ɕʰ u ɭ ɡ ɯ n
출근시간	t͡ɕʰ u ɭ ɡ ɯ n ɕʰ i ɡ a̠ n
출근하다	t͡ɕʰ u ɭ ɡ ɯ n ɦ a̠ d a̠
출금	t͡ɕʰ u ɭ ɡ ɯ m
출발하다	t͡ɕʰ u ɭ b a̠ ɾ ɦ a̠ d a̠
출산	t͡ɕʰ u ɭ s͈ a̠ n
출산율	t͡ɕʰ u ɭ sʰ a̠ ɲ j u ɭ
출석	t͡ɕʰ u ɭ s͈ ʌ̹ k̚
출신	t͡ɕʰ u ɭ ɕ͈ i n
출신성분	t͡ɕʰ u ɭ ɕ͈ i n sʰ ʌ̹ ŋ b u n
출연	t͡ɕʰ u ɾ j ʌ̹ n
출원자	t͡ɕʰ u ɾ w ʌ̹ ɲ d͡ʑ a̠
출전	t͡ɕʰ u ʎ d͡ʑ ʌ̹ n
출출하다	t͡ɕʰ u ʎ t͡ɕʰ u ɾ ɦ a̠ d a̠
출퇴근하다	t͡ɕʰ u ɭ tʰ w e̞ ɡ ɯ n ɦ a̠ d a̠
출판사	t͡ɕʰ u ɭ pʰ a̠ n sʰ a̠
출판하다	t͡ɕʰ u ɭ pʰ a̠ n ɦ a̠ d a̠
출혈	t͡ɕʰ u ɾ ʝ j ʌ̹ ɭ
춤꾼	t͡ɕʰ u m k͈ u n
춤추다	t͡ɕʰ u m t͡ɕʰ u d a̠
춥다	t͡ɕʰ u p̚ t͈ a̠
충격	t͡ɕʰ u ŋ ɡ j ʌ̹ k̚
충고	t͡ɕʰ u ŋ ɡ o̞
충돌	t͡ɕʰ u ŋ d o̞ ɭ
충분하다	t͡ɕʰ u ŋ b u n ɦ a̠ d a̠
충분히	t͡ɕʰ u ŋ b u n ʝ i
충성	t͡ɕʰ u ŋ sʰ ʌ̹ ŋ
충수	t͡ɕʰ u ŋ sʰ u
충실하다	t͡ɕʰ u ŋ ɕʰ i ɾ ɦ a̠ d a̠
충전기	t͡ɕʰ u ŋ d͡ʑ ʌ̹ n ɡ i
충청북도	t͡ɕʰ u ŋ t͡ɕʰ ʌ̹ ŋ b u k̚ t͈ o̞
충충	t͡ɕʰ u ŋ t͡ɕʰ u ŋ
충칭	t͡ɕʰ u ŋ t͡ɕʰ i ŋ
취급	t͡ɕʰ ɥ i ɡ ɯ p̚
취나물	t͡ɕʰ ɥ i n a̠ m u ɭ
취리히	t͡ɕʰ ɥ i ɾ i ʝ i
취미	t͡ɕʰ ɥ iː m i
취소	t͡ɕʰ ɥ iː sʰ o̞
취직	t͡ɕʰ ɥ iː d͡ʑ i k̚
취하다	t͡ɕʰ ɥ iː ɦ a̠ d a̠
취향	t͡ɕʰ ɥ iː ʝ j a̠ ŋ
측위	t͡ɕʰ ɯ ɡ ɥ i
층운	t͡ɕʰ ɯ ŋ u n
치는	t͡ɕʰ i n ɯ n
치다	t͡ɕʰ i d a̠
치료	t͡ɕʰ i ɾ j o
치료제	t͡ɕʰ i ɾ j o d͡ʑ e̞
치르다	t͡ɕʰ i ɾ ɯ d a̠
치마	t͡ɕʰ i m a̠
치아	t͡ɕʰ i a̠
치안	t͡ɕʰ i a̠ n
치어리더	t͡ɕʰ i ʌ̹ ɾ i d ʌ̹
치열	t͡ɕʰ i j ʌ̹ ɭ
치와와	t͡ɕʰ i w a̠ w a̠
치욕	t͡ɕʰ i j o k̚
치우	t͡ɕʰ i u
치즈	t͡ɕʰ i d͡ʑ ɯ
치타	t͡ɕʰ i tʰ a̠
치통	t͡ɕʰ i tʰ o̞ ŋ
치한	t͡ɕʰ i ɦ a̠ n
친구	t͡ɕʰ i n ɡ u
친근하다	t͡ɕʰ i n ɡ ɯ n ɦ a̠ d a̠
친밀	t͡ɕʰ i n m i ɭ
친삼촌	t͡ɕʰ i n sʰ a̠ m t͡ɕʰ o̞ n
친선	t͡ɕʰ i n sʰ ʌ̹ n
친일파	t͡ɕʰ i n i ɭ pʰ a̠
친절	t͡ɕʰ i ɲ d͡ʑ ʌ̹ ɭ
친족	t͡ɕʰ i ɲ d͡ʑ o̞ k̚
친척	t͡ɕʰ i ɲ t͡ɕʰ ʌ̹ k̚
칠레	t͡ɕʰ i ɭ ɭ e̞
칠리	t͡ɕʰ i ʎ ʎ i
칠면조	t͡ɕʰ i ɭ m j ʌ̹ ɲ d͡ʑ o̞
칠월	t͡ɕʰ i ɾ w ʌ̹ ɭ
칠판	t͡ɕʰ i ɭ pʰ a̠ n
침공	t͡ɕʰ iː m ɡ o̞ ŋ
침낭	t͡ɕʰ iː m n a̠ ŋ
침략	t͡ɕʰ iː m ɲ j a̠ k̚
침목	t͡ɕʰ i m m o̞ k̚
침묵	t͡ɕʰ i m m u k̚
침묵하다	t͡ɕʰ i m m u kʰ a̠ d a̠
침범	t͡ɕʰ iː m b ʌ̹ m
침술	t͡ɕʰ i m sʰ u ɭ
침실	t͡ɕʰ iː m ɕʰ i ɭ
침입	t͡ɕʰ iː m i p̚
칭찬	t͡ɕʰ i ŋ t͡ɕʰ a̠ n
칭찬하다	t͡ɕʰ i ŋ t͡ɕʰ a̠ n ɦ a̠ d a̠
칭하이	t͡ɕʰ i ŋ ɦ a̠ i
카나	kʰ a̠ n a̠
카나리아	kʰ a̠ n a̠ ɾ i a̠
카놀라유	kʰ a̠ n o̞ ɭ ɭ a̠ j u
카드	kʰ a̠ d ɯ
카드뮴	kʰ a̠ d ɯ m j u m
카라치	kʰ a̠ ɾ a̠ t͡ɕʰ i
카라카스	kʰ a̠ ɾ a̠ kʰ a̠ sʰ ɯ
카란	kʰ a̠ ɾ a̠ n
카르마	kʰ a̠ ɾ ɯ m a̠
카르복실기	kʰ a̠ ɾ ɯ b o̞ k ɕ͈ i ɭ ɡ i
카르빌아민	kʰ a̠ ɾ ɯ b i ɾ a̠ m i n
카르텔	kʰ a̠ ɾ ɯ tʰ e̞ ɭ
카메라	kʰ a̠ m e̞ ɾ a̠
카메룬	kʰ a̠ m e̞ ɾ u n
카멜레온	kʰ a̠ m e̞ ɭ ɭ e̞ o̞ n
카보베르데	kʰ a̠ b o̞ b e̞ ɾ ɯ d e̞
카복실산	kʰ a̠ b o̞ k ɕ͈ i ɭ sʰ a̠ n
카불	kʰ a̠ b u ɭ
카세트	kʰ a̠ sʰ e̞ tʰ ɯ
카옌	kʰ a̠ j e̞ n
카우보이	kʰ a̠ u b o̞ i
카우치	kʰ a̠ u t͡ɕʰ i
카운터	kʰ a̠ u n tʰ ʌ̹
카이로	kʰ a̠ i ɾ o̞
카이만	kʰ a̠ i m a̠ n
카자흐스탄	kʰ a̠ d͡ʑ a̠ ɣ ɯ sʰ ɯ tʰ a̠ n
카지노	kʰ a̠ d͡ʑ i n o̞
카타르	kʰ a̠ tʰ a̠ ɾ ɯ
카트	kʰ a̠ tʰ ɯ
카트만두	kʰ a̠ tʰ ɯ m a̠ n d u
카페	k͈ a̠ pʰ e̞
카페테리아	kʰ a̠ pʰ e̞ tʰ e̞ ɾ i a̠
칵테일	kʰ a̠ k̚ tʰ e̞ i ɭ
칼날	kʰ a̠ ɭ ɭ a̠ ɭ
칼라	kʰ a̠ ɭ ɭ a̠
칼로리	kʰ a̠ ɭ ɭ o̞ ɾ i
칼륨	kʰ a̠ ʎ ʎ j u m
칼리닌그라드	kʰ a̠ ʎ ʎ i n i n ɡ ɯ ɾ a̠ d ɯ
칼리파	kʰ a̠ ʎ ʎ i pʰ a̠
칼바람	kʰ a̠ ɭ b a̠ ɾ a̠ m
칼상어	kʰ a̠ ɭ sʰ a̠ ŋ ʌ̹
칼슘	kʰ a̠ ɭ ɕʰ u m
칼자루	kʰ a̠ ʎ d͡ʑ a̠ ɾ u
칼집	kʰ a̠ ʎ t͡ɕ͈ i p̚
칼파스	kʰ a̠ ɭ pʰ a̠ sʰ ɯ
캄보디아	kʰ a̠ m b o̞ d i a̠
캄팔라	kʰ a̠ m pʰ a̠ ɭ ɭ a̠
캐다	kʰ ɛː d a̠
커닝	kʰ ʌ̹ n i ŋ
커다랗다	kʰ ɘː d a̠ ɾ a̠ tʰ a̠
커리	kʰ ʌ̹ ɾ i
커뮤니케이션	kʰ ʌ̹ m j u n i kʰ e̞ i ɕʰ ʌ̹ n
커뮤니티	kʰ ʌ̹ m j u n i tʰ i
커미션	kʰ ʌ̹ m i ɕʰ ʌ̹ n
커밍아웃	kʰ ʌ̹ m i ŋ a̠ u t̚
커브	kʰ ʌ̹ b ɯ
커서	kʰ ʌ̹ sʰ ʌ̹
커지다	kʰ ʌ̹ d͡ʑ i d a̠
커튼	kʰ ʌ̹ tʰ ɯ n
커플	kʰ ʌ̹ pʰ ɯ ɭ
커피숍	kʰ ʌ̹ pʰ i ɕʰ o p̚
컴퓨터	kʰ ʌ̹ m pʰ j u tʰ ʌ̹
케더링	kʰ e̞ d ʌ̹ ɾ i ŋ
케바케	kʰ e̞ b a̠ kʰ e̞
케이블	kʰ e̞ i b ɯ ɭ
케이크	kʰ e̞ i k x ɯ
케이터링	kʰ e̞ i tʰ ʌ̹ ɾ i ŋ
케이프타운	kʰ e̞ i pʰ ɯ tʰ a̠ u n
케익	kʰ e̞ i k̚
케첩	kʰ e̞ t͡ɕʰ ʌ̹ p̚
케톤	kʰ e̞ tʰ o̞ n
켈빈	kʰ e̞ ɭ b i n
코끼리	kʰ o̞ k͈ i ɾ i
코냑	kʰ o̞ ɲ j a̠ k̚
코너	kʰ o̞ n ʌ̹
코드	kʰ o̞ d ɯ
코란	kʰ o̞ ɾ a̠ n
코로나	kʰ o̞ ɾ o̞ n a̠
코로나비루스	kʰ o̞ ɾ o̞ n a̠ b i ɾ u sʰ ɯ
코리아	kʰ o̞ ɾ i a̠
코린	kʰ o̞ ɾ i n
코린치쥐	kʰ o̞ ɾ i ɲ t͡ɕʰ i d͡ʑ ɥ i
코미디	kʰ o̞ m i d i
코발트	kʰ o̞ b a̠ ɭ tʰ ɯ
코브라	kʰ o̞ b ɯ ɾ a̠
코뿔소	kʰ o̞ p͈ u ɭ s͈ o̞
코소보	kʰ o̞ sʰ o̞ b o̞
코스	kʰ o̞ sʰ ɯ
코스모스	kʰ o̞ sʰ ɯ m o̞ sʰ ɯ
코스타리카	kʰ o̞ sʰ ɯ tʰ a̠ ɾ i kʰ a̠
코알라	kʰ o̞ a̠ ɭ ɭ a̠
코요테	kʰ o̞ j o tʰ e̞
코이	kʰ o̞ i
코카인	kʰ o̞ kʰ a̠ i n
코카콜라	kʰ o̞ kʰ a̠ kʰ o̞ ɭ ɭ a̠
코코넛	kʰ o̞ kʰ o̞ n ʌ̹ t̚
코크스	kʰ o̞ k x ɯ sʰ ɯ
코트	kʰ o̞ tʰ ɯ
코트디부아르	kʰ o̞ tʰ ɯ d i b u a̠ ɾ ɯ
코튼	kʰ o̞ tʰ ɯ n
코펜하겐	kʰ o̞ pʰ e̞ n ɦ a̠ ɡ e̞ n
코피	kʰ o̞ pʰ i
코헬렛	kʰ o̞ ɦ e̞ ɭ ɭ e̞ t̚
콘도미니엄	kʰ o̞ n d o̞ m i n i ʌ̹ m
콘돔	kʰ o̞ n d o̞ m
콘서트	kʰ o̞ n sʰ ʌ̹ tʰ ɯ
콘셉트	kʰ o̞ n sʰ e̞ p̚ tʰ ɯ
콘스탄티누스	kʰ o̞ n sʰ ɯ tʰ a̠ n tʰ i n u sʰ ɯ
콘크리트	kʰ o̞ n k x ɯ ɾ i tʰ ɯ
콜라	kʰ o̞ ɭ ɭ a̠
콜라보	kʰ o̞ ɭ ɭ a̠ b o̞
콜레스테롤	kʰ o̞ ɭ ɭ e̞ sʰ ɯ tʰ e̞ ɾ o̞ ɭ
콜록	kʰ o̞ ɭ ɭ o̞ k̚
콜록콜록	kʰ o̞ ɭ ɭ o̞ k̚ kʰ o̞ ɭ ɭ o̞ k̚
콜론	kʰ o̞ ɭ ɭ o̞ n
콜옵션	kʰ o̞ ɾ o̞ p ɕ͈ ʌ̹ n
콜카타	kʰ o̞ ɭ kʰ a̠ tʰ a̠
콜호스	kʰ o̞ ɾ β o̞ sʰ ɯ
콤바인	kʰ o̞ m b a̠ i n
콤퓨터	kʰ o̞ m pʰ j u tʰ ʌ̹
콤플렉스	kʰ o̞ m pʰ ɯ ɭ ɭ e̞ k s͈ ɯ
콧물	kʰ o̞ n m u ɭ
콩고	kʰ o̞ ŋ ɡ o̞
콩나물	kʰ o̞ ŋ n a̠ m u ɭ
콩자반	kʰ o̞ ŋ d͡ʑ a̠ b a̠ n
콩팥	kʰ o̞ ŋ pʰ a̠ t̚
쾨뻰하븐	kʰ w e̞ p͈ e̞ n ɦ a̠ b ɯ n
쾰른	kʰ w e̞ ɭ ɭ ɯ n
쿠데타	kʰ u d e̞ tʰ a̠
쿠션	kʰ u ɕʰ ʌ̹ n
쿠알라룸푸르	kʰ u a̠ ɭ ɭ a̠ ɾ u m pʰ u ɾ ɯ
쿨쿨	kʰ u ɭ kʰ u ɭ
쿵후	kʰ u ŋ β u
퀴나졸린	kʰ ɥ i n a̠ d͡ʑ o̞ ʎ ʎ i n
퀴즈	kʰ ɥ i d͡ʑ ɯ
크기	k x ɯ ɡ i
크다	k x ɯ d a̠
크레용	k x ɯ ɾ e̞ j o ŋ
크레인	k x ɯ ɾ e̞ i n
크레파스	k x ɯ ɾ e̞ pʰ a̠ sʰ ɯ
크로뮴	k x ɯ ɾ o̞ m j u m
크로스드레싱	k x ɯ ɾ o̞ sʰ ɯ d ɯ ɾ e̞ ɕʰ i ŋ
크로아티아	k x ɯ ɾ o̞ a̠ tʰ i a̠
크로켓	k x ɯ ɾ o̞ kʰ e̞ t̚
크롬	k x ɯ ɾ o̞ m
크리스마스이브	k x ɯ ɾ i sʰ ɯ m a̠ sʰ ɯ i b ɯ
크리스천	k x ɯ ɾ i sʰ ɯ t͡ɕʰ ʌ̹ n
크리켓	k x ɯ ɾ i kʰ e̞ t̚
크림반도	k x ɯ ɾ i m b a̠ n d o̞
크세논	k x ɯ sʰ e̞ n o̞ n
큰고니	k x ɯ n ɡ o̞ n i
큰기러기	k x ɯ n ɡ i ɾ ʌ̹ ɡ i
큰물	k x ɯ n m u ɭ
큰바다사자	k x ɯ n b a̠ d a̠ sʰ a̠ d͡ʑ a̠
큰아들	k x ɯ n a̠ d ɯ ɭ
큰아버지	k x ɯ n a̠ b ʌ̹ d͡ʑ i
큰일	k x ɯ n n i ɭ
클라리넷	k x ɯ ɭ ɭ a̠ ɾ i n e̞ t̚
클라우드	k x ɯ ɭ ɭ a̠ u d ɯ
클럽	k x ɯ ɭ ɭ ʌ̹ p̚
클로버	k x ɯ ɭ ɭ o̞ b ʌ̹
클리닝	k x ɯ ʎ ʎ i n i ŋ
클릭	k x ɯ ʎ ʎ i k̚
클립	k x ɯ ʎ ʎ i p̚
타나크	tʰ a̠ n a̠ k x ɯ
타다	tʰ a̠ d a̠
타밀어	tʰ a̠ m i ɾ ʌ̹
타슈켄트	tʰ a̠ ɕʰ u kʰ e̞ n tʰ ɯ
타워	tʰ a̠ w ʌ̹
타원	tʰ a̠ː w ʌ̹ n
타율	tʰ a̠ː j u ɭ
타이	tʰ a̠ i
타이가	tʰ a̠ i ɡ a̠
타이르다	tʰ a̠ i ɾ ɯ d a̠
타이머	tʰ a̠ i m ʌ̹
타이베이	tʰ a̠ i b e̞ i
타이어	tʰ a̠ i ʌ̹
타이타늄	tʰ a̠ i tʰ a̠ ɲ j u m
타이틀	tʰ a̠ i tʰ ɯ ɭ
타이페이	tʰ a̠ i pʰ e̞ i
타일	tʰ a̠ i ɭ
타자	tʰ a̠ː d͡ʑ a̠
타조	tʰ a̠ː d͡ʑ o̞
타협	tʰ a̠ː ʝ j ʌ̹ p̚
타협하다	tʰ a̠ː ʝ j ʌ̹ pʰ a̠ d a̠
탁구	tʰ a̠ k̚ k͈ u
탁아소	tʰ a̠ ɡ a̠ sʰ o̞
탁자	tʰ a̠ k̚ t͡ɕ͈ a̠
탁치	tʰ a̠ k̚ t͡ɕʰ i
탄로	tʰ a̠ː ɭ ɭ o̞
탄성	tʰ a̠ n sʰ ʌ̹ ŋ
탄소	tʰ a̠ː n sʰ o̞
탄수화물	tʰ a̠ː n sʰ u β w a̠ m u ɭ
탄압	tʰ a̠ː n a̠ p̚
탄약고	tʰ a̠ː ɲ j a̠ k̚ k͈ o̞
